GEOID,POP10
47001,10422
47003,1040
47006,11727
47010,306
47011,1277
47012,10188
47016,793
47017,507
47018,4275
47020,1309
47022,3358
47023,1636
47024,3226
47025,22932
47030,1636
47031,5368
47032,3289
47034,158
47035,233
47036,1023
47037,4333
47038,1504
47040,5480
47041,6125
47042,4504
47043,5250
47060,6448
47102,7255
47104,41
47106,4718
47108,2463
47110,350
47111,14533
47112,16722
47114,399
47115,2622
47116,805
47117,4429
47118,3502
47119,10911
47120,938
47122,9979
47123,189
47124,4264
47125,1658
47126,4250
47129,19527
47130,44722
47135,1372
47136,4178
47137,1421
47138,4373
47140,2669
47141,1668
47142,1174
47143,3015
47145,1998
47147,945
47150,47472
47160,93
47161,3735
47162,829
47163,1746
47164,3779
47165,6438
47166,1302
47167,15014
47170,14795
47172,16059
47175,909
47177,1221
47201,41662
47203,25806
47220,5652
47223,1490
47224,636
47226,202
47227,1598
47229,3231
47230,2029
47231,1167
47232,2839
47234,1379
47235,1784
47240,20832
47243,5951
47244,786
47246,4342
47247,156
47250,21944
47260,1911
47263,236
47264,1428
47265,20911
47270,807
47272,2041
47273,1849
47274,28770
47280,813
47281,1324
47282,289
47283,3386
47302,27592
47303,25365
47304,30516
47305,4106
47306,6189
47320,4134
47324,138
47325,667
47326,2295
47327,4597
47330,5755
47331,23429
47334,3263
47335,761
47336,3807
47337,203
47338,2827
47339,669
47340,2914
47341,2283
47342,2693
47344,140
47345,1448
47346,4082
47348,9828
47351,471
47352,965
47353,5879
47354,1129
47355,2885
47356,5781
47357,1215
47358,996
47359,3143
47360,1546
47361,135
47362,30243
47367,191
47368,2845
47369,1343
47371,12226
47373,2226
47374,46875
47380,2004
47381,145
47382,200
47383,2960
47384,2000
47385,1612
47386,1231
47387,726
47388,384
47390,5310
47393,1704
47394,8470
47396,7030
47401,41011
47403,30955
47404,21026
47405,4427
47406,4730
47408,24776
47420,135
47421,27831
47424,9525
47427,1093
47429,7986
47431,1366
47432,4537
47433,4025
47434,76
47436,1663
47437,123
47438,4798
47441,9269
47443,1233
47446,9990
47448,7505
47449,413
47451,1228
47452,5359
47453,498
47454,7688
47455,124
47456,1200
47457,134
47458,36
47459,3795
47460,11471
47462,4871
47464,198
47465,750
47467,72
47468,1250
47469,1749
47470,1735
47471,2727
47501,17535
47512,3981
47513,1841
47514,1559
47515,965
47516,1249
47519,513
47520,3267
47521,927
47522,246
47523,3435
47524,605
47525,382
47527,1897
47528,476
47529,1042
47531,1004
47532,4627
47535,566
47536,40
47537,826
47541,1224
47542,9622
47546,21009
47550,854
47551,649
47552,182
47553,8495
47557,1432
47558,4406
47561,1588
47562,4658
47564,1352
47567,6021
47568,834
47574,148
47575,976
47576,388
47577,1143
47578,776
47579,2659
47580,289
47581,3883
47584,179
47585,592
47586,10932
47588,698
47590,713
47591,26770
47596,202
47597,1023
47598,3418
47601,13896
47610,5195
47611,1257
47612,861
47613,2679
47615,1611
47616,364
47619,1696
47620,13427
47630,34423
47631,2042
47633,2542
47634,2382
47635,5671
47637,1507
47638,3577
47639,4069
47640,1089
47648,4373
47649,1402
47654,70
47660,4934
47665,3637
47666,1447
47670,12352
47683,210
47708,439
47710,19527
47711,31457
47712,26012
47713,11032
47714,34107
47715,27063
47720,17413
47725,15851
47802,34532
47803,21102
47804,11020
47805,12852
47807,13045
47809,2687
47832,1040
47833,1010
47834,19215
47836,47
47837,1231
47838,4081
47840,1500
47841,2138
47842,10085
47846,638
47847,1077
47848,1691
47849,496
47850,2456
47853,134
47854,849
47855,546
47857,571
47858,698
47859,1066
47860,321
47861,616
47862,1610
47863,205
47865,79
47866,347
47868,2937
47869,137
47871,220
47872,8890
47874,3414
47876,394
47879,3302
47880,67
47881,465
47882,8430
47884,229
47885,9009
47901,3518
47904,16277
47905,38910
47906,66972
47907,0
47909,39373
47916,64
47917,491
47918,6321
47920,2414
47921,1078
47922,1623
47923,3494
47924,141
47925,203
47926,1097
47928,2047
47929,774
47930,1094
47932,5357
47933,27937
47940,1433
47941,1300
47942,660
47943,932
47944,3623
47946,2044
47948,1359
47949,1332
47950,912
47951,2252
47952,2798
47954,2220
47955,1088
47957,1894
47958,209
47959,2822
47960,15003
47963,1949
47964,122
47965,646
47966,461
47967,772
47968,982
47969,145
47970,2034
47971,1865
47974,1186
47975,653
47977,2206
47978,11793
47980,1096
47981,849
47982,143
47983,347
47987,4049
47989,1281
47990,1627
47991,1070
47992,1465
47993,3918
47994,476
47995,1743
47997,139
