GEOID,INTPTLAT,INTPTLONG
29001,33.786644,-80.174065
29003,33.241221,-81.023815
29006,33.869101,-81.551078
29009,34.455300,-80.376154
29010,34.223328,-80.272722
29014,34.523382,-81.114513
29015,34.437442,-81.330125
29016,34.202513,-80.996999
29018,33.348797,-80.639176
29020,34.316649,-80.581590
29030,33.576312,-80.647573
29031,34.548096,-81.492609
29032,34.345114,-80.445025
29033,33.953426,-81.057439
29036,34.134004,-81.339914
29037,34.189937,-81.867693
29038,33.372643,-80.981506
29039,33.422420,-80.915021
29040,34.068795,-80.440478
29042,33.297671,-81.158698
29044,33.936526,-80.692350
29045,34.185012,-80.806315
29046,34.102331,-80.153633
29047,33.532715,-80.585847
29048,33.390561,-80.295284
29051,33.861626,-80.127828
29052,33.798397,-80.741126
29053,33.827497,-81.090983
29054,33.941953,-81.383081
29055,34.574244,-80.914866
29056,33.608671,-80.005756
29058,34.555045,-80.742436
29059,33.330030,-80.418508
29061,33.897493,-80.850604
29062,34.004286,-80.605521
29063,34.142131,-81.206184
29065,34.285140,-81.296583
29067,34.544166,-80.537094
29069,34.179848,-80.094729
29070,33.916116,-81.453057
29072,34.001778,-81.272410
29073,33.892184,-81.235774
29074,34.441645,-80.818150
29075,34.218134,-81.299071
29078,34.185150,-80.706336
29079,34.286517,-80.113717
29080,34.012164,-80.085577
29081,33.089080,-81.047373
29082,33.038215,-80.939141
29101,34.460246,-80.247858
29102,33.641983,-80.188481
29104,34.001026,-80.213437
29105,33.807397,-81.593640
29107,33.529824,-81.124331
29108,34.305524,-81.627342
29111,33.789038,-80.006369
29112,33.626435,-81.079954
29113,33.432423,-81.135334
29114,33.956036,-79.932670
29115,33.477355,-80.849100
29117,33.498260,-80.848826
29118,33.567550,-80.885684
29122,34.238760,-81.328235
29123,33.764652,-81.271451
29125,33.700612,-80.462564
29126,34.328933,-81.419482
29127,34.153252,-81.512463
29128,34.095748,-80.526305
29129,33.781876,-81.676812
29130,34.331608,-80.880412
29133,33.358911,-80.803127
29135,33.692181,-80.787131
29137,33.595632,-81.321382
29138,34.042392,-81.776152
29142,33.463477,-80.524523
29145,34.228719,-81.766201
29146,33.508249,-81.295412
29147,34.091774,-80.966483
29148,33.534198,-80.337458
29150,33.874292,-80.353988
29152,33.972299,-80.465806
29153,33.959249,-80.308378
29154,33.879261,-80.440418
29160,33.746888,-81.035516
29161,34.104703,-79.943496
29162,33.885889,-80.014019
29163,33.429587,-80.439904
29164,33.662168,-81.416471
29166,33.901804,-81.705740
29168,33.849319,-80.552297
29169,33.997527,-81.097406
29170,33.937674,-81.147203
29172,33.912417,-81.076978
29175,34.443849,-80.598356
29178,34.492522,-81.604974
29180,34.366465,-81.093684
29201,33.982484,-81.028098
29202,33.993555,-81.031009
29203,34.101723,-81.042085
29204,34.029148,-81.002526
29205,33.990057,-80.997251
29206,34.026415,-80.958995
29207,34.042447,-80.845986
29208,33.998133,-81.028152
29209,33.926751,-80.950364
29210,34.046162,-81.106580
29212,34.076232,-81.198752
29223,34.092634,-80.919271
29225,33.996177,-81.025028
29229,34.139526,-80.888209
29301,34.934028,-82.010697
29302,34.884446,-81.843603
29303,34.995782,-81.961056
29306,34.892662,-81.921576
29307,34.982716,-81.831555
29316,35.043045,-81.975107
29320,34.958401,-81.993676
29321,34.714662,-81.741065
29322,35.121041,-82.132234
29323,35.126341,-81.907463
29324,34.983686,-81.826635
29325,34.472020,-81.841751
29329,34.994056,-81.835884
29330,35.052613,-81.804142
29331,34.651836,-81.844085
29332,34.278760,-81.970367
29333,34.971205,-81.910208
29334,34.905551,-82.124414
29335,34.646690,-81.904455
29338,35.135513,-82.001598
29340,34.972033,-81.585721
29341,35.113676,-81.714522
29346,34.945078,-81.836373
29349,35.069320,-82.071005
29351,34.421034,-81.808045
29353,34.830743,-81.648605
29355,34.289571,-81.826418
29356,35.142074,-82.280831
29360,34.498634,-82.050627
29364,34.762480,-81.470669
29365,34.980988,-82.171851
29368,35.081579,-81.863411
29369,34.865620,-82.019463
29370,34.373805,-81.963361
29372,34.901747,-81.711273
29373,34.924954,-81.746754
29374,34.784549,-81.853472
29375,34.861302,-82.113804
29376,34.811382,-81.944219
29377,34.930634,-82.095061
29378,34.966907,-81.968539
29379,34.682438,-81.608705
29384,34.343368,-82.090062
29385,34.972963,-82.101417
29388,34.764315,-82.044633
29401,32.777180,-79.932000
29403,32.805900,-79.943180
29404,32.898999,-80.049739
29405,32.856252,-79.981994
29406,32.937740,-80.035403
29407,32.798930,-79.997803
29409,32.796088,-79.960493
29410,32.932658,-80.002751
29412,32.712647,-79.947881
29414,32.839964,-80.089180
29418,32.909648,-80.094765
29420,32.931762,-80.100722
29423,32.978760,-80.071205
29424,32.783637,-79.937365
29426,32.797192,-80.370638
29429,32.970668,-79.658200
29431,33.273223,-79.881631
29432,33.231450,-80.808833
29434,33.140888,-79.843725
29435,32.972972,-80.466445
29436,33.315358,-80.187250
29437,33.139994,-80.431756
29438,32.564708,-80.322390
29439,32.654787,-79.951857
29440,33.381110,-79.329760
29445,32.999295,-79.967298
29446,32.630668,-80.551510
29448,33.258064,-80.452695
29449,32.700369,-80.287056
29450,33.065935,-79.784197
29451,32.822611,-79.754581
29452,32.677951,-80.461468
29453,33.225592,-79.642781
29455,32.624718,-80.040587
29456,32.985877,-80.115440
29458,33.093141,-79.461488
29461,33.159834,-80.006461
29464,32.816699,-79.858222
29466,32.877758,-79.792013
29468,33.421815,-80.058167
29469,33.257863,-80.056370
29470,32.826948,-80.253676
29471,33.192675,-80.670417
29472,33.044311,-80.326823
29474,32.884258,-80.523838
29475,32.957264,-80.806480
29477,33.163135,-80.564934
29479,33.379002,-79.888317
29481,33.108529,-80.800481
29482,32.764502,-79.854987
29483,33.051384,-80.188540
29485,32.948519,-80.190585
29487,32.657682,-80.183948
29488,32.906763,-80.672836
29492,32.903802,-79.911163
29493,33.034143,-80.842844
29501,34.205933,-79.826260
29505,34.130066,-79.688893
29506,34.213891,-79.646192
29510,33.454312,-79.613121
29511,33.975732,-79.122716
29512,34.618873,-79.718217
29516,34.437454,-79.634640
29518,33.788608,-79.847975
29519,34.018664,-79.359810
29520,34.679486,-79.927292
29525,34.552581,-79.540687
29526,33.853903,-78.964476
29527,33.785195,-79.145938
29530,33.996055,-79.740075
29532,34.280331,-79.869336
29536,34.419502,-79.373048
29540,34.377419,-79.846171
29541,34.064949,-79.740750
29543,34.287604,-79.265929
29544,33.926098,-79.255583
29545,34.163660,-78.966477
29546,33.882357,-79.351821
29547,34.496287,-79.334829
29550,34.399975,-80.082806
29554,33.704050,-79.381598
29555,33.841627,-79.466397
29556,33.668097,-79.762707
29560,33.830403,-79.744580
29563,34.353366,-79.208673
29564,33.449386,-79.848408
29565,34.358052,-79.499289
29566,33.873402,-78.666957
29567,34.558925,-79.429607
29568,33.913560,-78.750284
29569,34.036840,-78.916972
29570,34.667376,-79.564322
29571,34.135045,-79.425036
29572,33.771560,-78.784745
29574,34.165504,-79.260681
29575,33.629225,-78.970339
29576,33.562470,-79.056329
29577,33.698784,-78.902868
29579,33.753215,-78.916899
29580,33.653101,-79.551975
29581,34.199275,-79.113015
29582,33.838529,-78.660551
29583,33.977851,-79.571077
29584,34.583313,-80.065768
29585,33.520097,-79.135803
29588,33.671137,-79.024270
29590,33.568920,-79.848696
29591,33.937999,-79.762290
29592,34.266958,-79.478986
29593,34.492830,-79.857051
29594,34.640233,-79.577360
29596,34.744162,-79.830739
29601,34.847112,-82.402264
29605,34.774425,-82.376610
29607,34.811726,-82.331435
29609,34.912592,-82.388170
29611,34.830934,-82.458497
29613,34.924566,-82.438736
29614,34.873771,-82.363149
29615,34.856825,-82.296139
29617,34.911021,-82.468095
29620,34.182424,-82.425604
29621,34.506502,-82.605626
29624,34.435943,-82.624115
29625,34.559027,-82.763452
29626,34.460802,-82.756514
29627,34.517279,-82.476617
29628,34.089119,-82.559230
29630,34.738673,-82.799161
29631,34.681567,-82.815832
29634,34.676518,-82.835950
29635,35.077658,-82.626703
29638,34.363867,-82.338204
29639,34.303618,-82.428815
29640,34.883978,-82.579832
29642,34.775165,-82.563663
29643,34.516190,-82.996445
29644,34.668477,-82.190059
29645,34.592282,-82.124610
29646,34.136053,-82.148470
29649,34.238919,-82.145019
29650,34.898246,-82.257851
29651,35.023830,-82.279564
29653,34.306003,-82.232469
29654,34.460528,-82.361886
29655,34.265624,-82.642346
29657,34.767088,-82.686571
29658,34.760806,-83.284445
29659,34.209770,-82.646988
29661,35.147593,-82.529539
29662,34.778208,-82.301835
29664,34.860889,-83.157553
29665,34.725435,-82.913642
29666,34.113326,-81.979552
29667,34.764792,-82.756690
29669,34.639372,-82.413576
29670,34.643979,-82.723237
29671,34.934777,-82.728691
29672,34.751278,-82.934285
29673,34.713864,-82.455898
29676,34.950234,-82.982932
29678,34.635217,-82.939747
29680,34.685122,-82.288811
29681,34.767679,-82.225003
29682,34.833946,-82.854386
29683,35.029999,-82.494173
29684,34.379410,-82.718488
29685,34.991238,-82.842298
29686,34.959550,-83.053602
29687,34.986636,-82.327451
29689,34.534253,-82.868342
29690,35.059806,-82.417198
29691,34.782583,-83.083166
29692,34.412630,-82.219492
29693,34.646708,-83.146844
29696,34.780070,-83.008840
29697,34.625593,-82.548639
29702,35.116068,-81.473073
29704,34.831891,-80.909786
29706,34.715492,-81.234538
29707,34.974384,-80.862388
29708,35.048705,-80.987118
29709,34.720167,-80.098457
29710,35.106284,-81.221471
29712,34.797966,-80.975531
29714,34.712239,-80.915313
29715,35.009844,-80.928739
29717,34.950733,-81.448844
29718,34.624163,-80.331295
29720,34.740563,-80.732729
29724,34.773948,-81.011121
29726,34.860843,-81.236135
29727,34.719265,-80.264601
29728,34.764953,-80.400558
29729,34.689134,-81.006760
29730,34.889870,-81.017838
29732,34.971373,-81.081285
29733,34.939585,-81.031961
29741,34.725288,-80.195526
29742,34.869975,-81.392257
29743,35.011187,-81.386674
29745,34.991118,-81.214180
29801,33.588993,-81.697037
29803,33.490267,-81.762699
29805,33.646054,-81.604486
29809,33.418902,-81.692490
29810,32.986368,-81.378110
29812,33.230843,-81.431281
29816,33.501116,-81.873493
29817,33.370534,-81.273172
29819,34.044227,-82.227378
29821,33.643047,-82.107049
29824,33.821285,-81.997605
29826,33.385403,-81.359112
29827,32.963155,-81.253906
29828,33.522812,-81.828197
29829,33.574691,-81.857801
29831,33.297451,-81.799578
29832,33.838994,-81.803656
29834,33.512930,-81.856747
29835,33.919499,-82.288971
29836,33.124861,-81.560185
29838,33.746791,-82.150948
29840,34.007202,-82.521302
29841,33.526407,-81.939337
29842,33.451527,-81.863403
29843,33.182069,-81.179772
29844,33.769606,-82.241925
29845,33.817844,-82.201423
29847,33.694096,-81.852760
29848,33.970417,-82.075911
29849,33.100255,-81.234474
29850,33.609668,-81.816976
29851,33.507439,-81.811783
29853,33.403217,-81.422629
29856,33.484137,-81.509942
29860,33.614687,-81.984429
29899,33.928023,-82.250602
29902,32.334933,-80.684304
29904,32.457441,-80.717905
29905,32.351589,-80.682217
29906,32.445112,-80.752875
29907,32.474692,-80.599222
29909,32.336836,-80.847799
29910,32.217752,-80.890837
29911,32.941160,-81.141681
29912,32.583486,-80.929358
29915,32.115435,-80.865898
29916,32.718462,-80.967103
29918,32.744511,-81.247269
29920,32.367446,-80.544887
29921,32.682581,-81.172909
29922,32.625831,-81.277273
29923,32.859518,-81.246422
29924,32.876885,-81.111209
29926,32.238247,-80.740263
29927,32.226799,-81.057867
29928,32.163171,-80.755765
29929,32.927872,-80.938536
29932,32.818148,-81.348641
29934,32.591591,-81.107381
29935,32.383612,-80.695169
29936,32.481344,-80.971730
29939,32.672512,-81.244025
29940,32.550437,-80.702432
29941,32.550309,-80.806715
29943,32.479103,-81.190824
29944,32.793115,-81.035372
29945,32.673313,-80.765932
