GEOID,POP10
38001,4719
38002,38927
38004,9866
38006,5207
38007,91
38008,9721
38011,9908
38012,14575
38015,2828
38016,43079
38017,48642
38018,35059
38019,15601
38021,59
38023,6146
38024,27406
38028,6883
38029,80
38030,977
38034,2998
38036,478
38037,1773
38039,1804
38040,5193
38041,5085
38042,796
38044,865
38046,108
38047,91
38049,4984
38050,459
38052,3907
38053,27932
38054,284
38057,3649
38058,10236
38059,7663
38060,9496
38061,977
38063,17403
38066,2630
38067,1476
38068,10941
38069,2376
38070,175
38075,6936
38076,847
38077,43
38079,5577
38080,2568
38103,12180
38104,23409
38105,6184
38106,27222
38107,17698
38108,18729
38109,46594
38111,41742
38112,17472
38114,26905
38115,39129
38116,40404
38117,26125
38118,41465
38119,22330
38120,14237
38122,25270
38125,36150
38126,7334
38127,45248
38128,44863
38131,0
38132,7
38133,20787
38134,41948
38135,30657
38138,24045
38139,16086
38141,22462
38152,834
38201,10093
38220,1849
38221,3308
38222,2629
38224,956
38225,6283
38226,345
38229,2931
38230,3736
38231,1664
38232,1998
38233,2852
38235,441
38236,662
38237,16627
38240,2259
38241,898
38242,20151
38251,2751
38253,1156
38254,85
38255,2299
38256,3089
38257,4397
38258,1500
38259,860
38260,3804
38261,16919
38301,36613
38305,49808
38310,6145
38311,786
38313,3204
38315,3876
38316,2917
38317,2537
38318,476
38320,10686
38321,2431
38326,2560
38327,477
38328,730
38329,3220
38330,4404
38332,1120
38333,523
38334,1911
38337,1366
38339,637
38340,12935
38341,2252
38342,1438
38343,15619
38344,8684
38345,2089
38347,270
38348,1037
38351,17603
38352,494
38355,5882
38356,2193
38357,2757
38358,12121
38359,278
38361,994
38362,1145
38363,6097
38365,16
38366,2267
38367,2843
38368,1985
38369,1887
38370,670
38371,1235
38372,17595
38374,2052
38375,9251
38376,233
38379,1171
38380,574
38381,1640
38382,9515
38387,375
38388,1840
38390,907
38391,1174
38392,776
38401,54469
38425,3724
38449,2811
38450,2778
38451,4814
38452,1091
38453,373
38454,1208
38455,227
38456,4559
38457,808
38459,453
38460,1410
38461,1379
38462,10297
38463,2817
38464,22293
38468,5201
38469,4092
38471,530
38472,2656
38473,1061
38474,7802
38475,635
38476,1228
38477,2766
38478,17733
38481,896
38482,1535
38483,5663
38485,6502
38486,967
38487,1057
38488,2524
38501,36687
38504,901
38505,1806
38506,26521
38541,1613
38542,22
38543,560
38544,6543
38545,1474
38547,1975
38548,731
38549,3679
38551,4106
38552,275
38553,2312
38554,827
38555,18809
38556,12540
38558,6970
38559,1340
38560,1425
38562,6554
38563,2330
38564,453
38565,1098
38567,784
38568,2034
38569,363
38570,9898
38571,13848
38572,10649
38573,2198
38574,8413
38575,1172
38577,1153
38578,177
38579,1063
38580,1743
38581,4112
38582,1426
38583,23825
38585,3717
38587,1301
38588,1011
38589,200
38601,2371
38603,2894
38606,16127
38610,3542
38611,17202
38614,20418
38617,734
38618,12031
38619,5004
38620,3375
38621,1910
38622,705
38623,259
38625,1058
38626,1353
38627,1120
38629,1774
38630,132
38631,1306
38632,24377
38633,2590
38635,15941
38637,26066
38639,1257
38641,2338
38642,2321
38643,2619
38644,208
38645,1329
38646,3073
38647,1143
38650,3881
38651,7103
38652,16600
38654,45956
38655,36699
38658,2074
38659,2841
38661,2039
38663,11950
38664,3279
38665,2683
38666,6915
38668,14462
38670,1226
38671,35712
38672,11249
38673,746
38674,898
38676,6375
38677,4198
38680,6194
38683,5637
38685,1347
38701,24187
38702,1
38703,14568
38704,41
38720,597
38721,1230
38722,531
38723,33
38725,998
38726,532
38730,1718
38731,129
38732,17981
38736,440
38737,2932
38738,3998
38740,466
38744,682
38745,144
38746,616
38748,3901
38749,26
38751,11638
38753,1456
38754,1532
38756,6462
38759,1194
38760,929
38761,2870
38762,2294
38764,430
38765,201
38767,77
38768,182
38769,2216
38771,3260
38772,182
38773,3375
38774,2522
38778,1686
38781,252
38801,29871
38804,17285
38821,12528
38824,7832
38826,4703
38827,2733
38828,3970
38829,18707
38833,2370
38834,29133
38838,1629
38841,2775
38843,11467
38844,131
38846,2446
38847,3501
38848,848
38849,5702
38850,3141
38851,8408
38852,9449
38855,4602
38856,1788
38857,3252
38858,7176
38859,749
38860,5663
38862,2731
38863,19788
38864,1701
38865,4698
38866,11897
38868,5481
38869,478
38870,3122
38871,1640
38873,2719
38876,1322
38878,2864
38879,785
38901,18403
38913,396
38914,552
38915,4046
38916,5049
38917,3258
38920,804
38921,5061
38922,3451
38923,1293
38924,771
38925,2363
38927,1186
38928,497
38929,1317
38930,25297
38940,2141
38941,5282
38943,526
38944,504
38945,35
38946,362
38947,445
38948,2288
38949,297
38950,334
38951,1316
38952,611
38953,798
38954,1514
38957,734
38958,38
38961,803
38962,149
38963,4015
38964,104
38965,9135
38966,1174
38967,7755
