GEOID,POP10
64001,656
64011,3106
64012,27260
64014,24797
64015,31217
64016,4713
64017,464
64018,890
64019,2368
64020,3608
64021,633
64022,183
64024,16230
64029,16574
64030,24422
64034,7612
64035,971
64036,389
64037,6150
64040,6574
64048,4140
64050,22178
64052,20911
64053,5319
64054,3731
64055,33858
64056,16576
64057,14141
64058,6659
64060,13042
64061,3387
64062,6121
64063,20374
64064,16223
64065,27
64066,38
64067,5789
64068,36280
64070,3309
64071,828
64072,239
64074,638
64075,11810
64076,9512
64077,1940
64078,8902
64079,12485
64080,12866
64081,23144
64082,14456
64083,20995
64084,1556
64085,8803
64086,21925
64088,1378
64089,11470
64090,116
64092,44
64093,27608
64096,1171
64097,1410
64098,2892
64101,339
64102,0
64105,3505
64106,7701
64108,7584
64109,9931
64110,15318
64111,16318
64112,8147
64113,11328
64114,23158
64116,15318
64117,14017
64118,40191
64119,27341
64120,369
64123,10387
64124,12639
64125,1953
64126,6514
64127,17332
64128,11613
64129,9486
64130,20492
64131,21465
64132,13810
64133,33780
64134,21973
64136,2153
64137,10554
64138,25294
64139,1762
64145,5389
64146,1376
64147,769
64149,343
64150,3048
64151,24134
64152,26024
64153,5358
64154,9257
64155,21901
64156,5404
64157,16122
64158,5161
64161,388
64163,689
64164,302
64165,112
64166,278
64167,353
64192,15
64401,1417
64402,2388
64420,53
64421,952
64422,337
64423,761
64424,4585
64426,356
64427,606
64428,898
64429,13158
64430,764
64431,382
64432,141
64433,210
64434,518
64436,781
64437,792
64438,270
64439,1642
64440,737
64441,178
64442,882
64443,1096
64444,1340
64445,312
64446,1117
64448,1104
64449,451
64451,446
64453,217
64454,2667
64455,368
64456,1459
64457,329
64458,145
64459,472
64461,897
64463,1643
64465,4251
64466,541
64467,186
64468,16023
64469,2339
64470,1631
64471,483
64473,1457
64474,820
64475,468
64476,379
64477,3404
64479,906
64480,307
64481,1088
64482,2101
64483,709
64484,1229
64485,8124
64486,455
64487,757
64489,2198
64490,2056
64491,1875
64492,1782
64493,460
64494,1018
64496,154
64497,598
64498,375
64499,119
64501,12503
64503,12921
64504,10763
64505,13161
64506,24030
64507,13738
64601,12438
64620,466
64622,600
64623,609
64624,1662
64625,644
64628,6144
64630,602
64631,902
64632,629
64633,5216
64635,515
64636,299
64637,667
64638,521
64639,240
64640,3140
64641,666
64642,855
64643,1072
64644,3024
64645,195
64646,297
64647,379
64648,2129
64649,864
64650,727
64651,570
64652,441
64653,687
64654,52
64655,264
64656,240
64657,323
64658,3277
64659,964
64660,513
64661,916
64664,350
64667,395
64668,1416
64670,1090
64671,2062
64672,251
64673,2492
64674,428
64676,215
64679,805
64681,192
64682,378
64683,8144
64686,271
64688,548
64689,683
64701,14385
64720,3843
64722,525
64723,665
64724,1859
64725,2271
64726,467
64728,594
64730,7109
64733,1159
64734,2004
64735,13258
64738,1149
64739,997
64740,1884
64741,351
64742,2193
64743,292
64744,7836
64745,117
64746,1428
64747,3910
64748,1493
64750,423
64752,735
64755,2596
64756,742
64759,8244
64761,1493
64762,1604
64763,1568
64765,44
64767,821
64769,611
64770,1056
64771,610
64772,13596
64776,3942
64778,702
64779,2693
64780,639
64781,106
64783,775
64784,1500
64788,1415
64790,861
64801,34753
64804,37521
64830,639
64831,5879
64832,731
64833,125
64834,9556
64835,1899
64836,23940
64840,2813
64841,384
64842,829
64843,3259
64844,4680
64847,437
64848,744
64849,186
64850,24063
64854,4170
64855,2795
64856,4251
64857,424
64858,166
64859,1358
64861,1179
64862,3337
64863,1828
64865,5997
64866,1484
64867,1440
64870,14325
64873,1072
64874,760
