GEOID,POP10
87001,3684
87002,22517
87004,10136
87005,799
87006,703
87007,1080
87008,2552
87010,1139
87011,84
87012,261
87013,5200
87014,654
87015,13105
87016,3730
87017,429
87018,522
87020,11347
87021,3472
87022,907
87023,665
87024,2214
87025,1237
87026,4063
87027,309
87028,145
87029,237
87031,44075
87032,291
87034,2207
87035,7268
87036,1868
87037,677
87038,616
87040,496
87041,881
87042,3644
87043,5052
87044,387
87045,1751
87046,186
87047,4894
87048,8682
87049,973
87051,969
87052,3182
87053,998
87056,954
87059,9604
87061,371
87062,1869
87063,323
87064,161
87068,4755
87070,42
87072,660
87083,569
87102,21204
87104,12123
87105,57680
87106,27013
87107,31183
87108,38647
87109,40432
87110,38587
87111,56490
87112,43584
87113,14477
87114,61623
87116,4117
87117,310
87120,58023
87121,76721
87122,17977
87123,41468
87124,51404
87144,37719
87301,23674
87305,3350
87310,938
87311,4208
87312,579
87313,5662
87315,149
87316,1304
87317,1956
87319,1832
87320,765
87321,2226
87322,247
87323,4558
87325,3034
87326,1688
87327,7883
87328,2668
87347,309
87357,604
87364,1111
87375,3193
87401,46293
87402,11034
87410,17603
87412,966
87413,16792
87415,1791
87416,5454
87417,6910
87418,1059
87419,464
87420,11967
87421,1871
87455,1750
87461,1315
87499,453
87501,15147
87505,31013
87506,12580
87507,45890
87508,18183
87510,1096
87511,2747
87512,199
87513,1007
87514,1345
87515,311
87516,130
87517,356
87518,91
87519,460
87520,1419
87521,1003
87522,3384
87523,405
87524,260
87525,72
87527,880
87528,3417
87529,3600
87530,974
87531,368
87532,18223
87533,185
87535,1270
87537,2957
87538,493
87539,269
87540,923
87543,247
87544,17950
87548,928
87549,1118
87551,305
87552,3325
87553,1209
87554,61
87556,2417
87557,6359
87558,606
87560,1445
87562,576
87564,332
87565,478
87566,3000
87567,1634
87569,442
87571,11706
87573,36
87574,187
87575,789
87577,454
87578,611
87579,890
87580,449
87581,141
87582,1350
87583,234
87701,20081
87710,1768
87711,753
87712,283
87713,283
87714,1151
87715,532
87718,467
87722,376
87723,408
87724,88
87728,417
87729,126
87730,27
87731,223
87732,1672
87733,158
87734,181
87735,90
87736,233
87740,8068
87742,609
87743,361
87745,654
87746,120
87747,1624
87749,75
87750,11
87752,431
87753,254
87801,10221
87820,161
87821,672
87823,884
87824,194
87825,2999
87827,276
87828,429
87829,922
87830,999
87831,195
87832,600
87901,7139
87930,829
87931,634
87933,106
87935,1770
87936,515
87937,3303
87939,125
87940,669
87941,1216
87942,898
87943,228
