GEOID,POP10
32003,27126
32008,5309
32009,3325
32011,13854
32024,18733
32025,22380
32026,1959
32033,4118
32034,31008
32038,9228
32040,7604
32043,24632
32044,2060
32046,9410
32052,9223
32053,3869
32054,12307
32055,16570
32058,4416
32059,2377
32060,21363
32061,283
32062,2449
32063,13429
32064,6860
32065,32770
32066,7312
32068,50815
32071,3671
32072,324
32073,38920
32079,433
32080,20165
32081,4524
32082,28996
32083,4690
32084,29729
32086,24546
32087,5518
32091,15472
32092,28242
32094,2724
32095,7302
32096,2635
32097,15616
32102,2565
32110,7600
32112,7713
32113,6627
32114,32084
32117,24170
32118,16961
32119,20189
32124,5986
32127,29413
32128,16910
32129,20104
32130,5474
32131,4701
32132,7265
32133,137
32134,8084
32136,7080
32137,37821
32139,1129
32140,1741
32141,17603
32145,5456
32147,593
32148,11201
32157,407
32159,28867
32162,45180
32164,41616
32168,23642
32169,9816
32174,47552
32176,14339
32177,27132
32179,8156
32180,4218
32181,2551
32187,1713
32189,5807
32190,1170
32193,825
32195,3328
32202,7915
32204,6906
32205,28225
32206,17669
32207,33306
32208,30879
32209,34305
32210,59080
32211,30501
32212,1959
32216,34876
32217,18817
32218,53473
32219,11886
32220,12946
32221,27918
32222,8691
32223,23980
32224,38934
32225,52485
32226,15761
32227,2149
32228,314
32233,23673
32234,6606
32244,57369
32246,48789
32250,25356
32254,13570
32256,38483
32257,36430
32258,26759
32259,36917
32266,7037
32277,29517
32301,29321
32303,47359
32304,46145
32305,20073
32308,21586
32309,30159
32310,17402
32311,17493
32312,31869
32317,14067
32320,3858
32321,6460
32322,4007
32323,217
32324,5445
32327,26953
32328,3149
32330,804
32331,4242
32332,1642
32333,11330
32334,1904
32336,1391
32340,11808
32343,3044
32344,13193
32346,1693
32347,8057
32348,12442
32350,1417
32351,17486
32352,6638
32355,312
32356,129
32358,2145
32359,1721
32361,252
32399,2
32401,22647
32403,2995
32404,38425
32405,29980
32407,9347
32408,15352
32409,8691
32410,740
32413,13128
32420,2144
32421,4497
32423,1264
32424,7994
32425,14268
32426,942
32427,1475
32428,17412
32430,1199
32431,4983
32432,89
32433,16025
32435,6651
32437,679
32438,4060
32439,7715
32440,7563
32442,3699
32443,2921
32444,18985
32445,2644
32446,11075
32447,78
32448,8684
32449,478
32455,4736
32456,6966
32459,11457
32460,5856
32461,13
32462,3412
32463,114
32464,3994
32465,9232
32466,5641
32501,11730
32502,3298
32503,32011
32504,21441
32505,28213
32506,33846
32507,28996
32508,5852
32509,660
32511,1145
32514,37399
32526,36297
32530,38
32531,5296
32533,26493
32534,14029
32535,6326
32536,19709
32539,25079
32541,15565
32542,3457
32544,1818
32547,32485
32548,19343
32550,5867
32561,7899
32563,22406
32564,2881
32565,5719
32566,33671
32567,3510
32568,3122
32569,11235
32570,28817
32571,28881
32577,4625
32578,30108
32579,9997
32580,3662
32583,25586
32601,18585
32603,6741
32605,22925
32606,21833
32607,29750
32608,45842
32609,18756
32612,5458
32615,14295
32616,872
32617,4109
32618,7732
32619,4730
32621,5584
32622,1294
32625,1838
32626,8133
32628,4850
32631,291
32639,397
32640,10510
32641,14291
32643,10936
32648,437
32653,12844
32656,14014
32658,308
32664,510
32666,5916
32667,3794
32668,5082
32669,11623
32680,10223
32681,136
32683,151
32686,5003
32692,295
32693,12154
32694,2142
32696,12071
32697,253
32701,21577
32702,2705
32703,46207
32707,35335
32708,42012
32709,2566
32712,41769
32713,19491
32714,34862
32720,29700
32724,31826
32725,44905
32726,20029
32730,5354
32732,5589
32735,3903
32736,9736
32738,43830
32744,3588
32746,40571
32750,22713
32751,19928
32754,11313
32757,23746
32759,2871
32763,21263
32764,3120
32765,56349
32766,15698
32767,2622
32771,49481
32773,28787
32776,10262
32778,18617
32779,27556
32780,34628
32784,11432
32789,24557
32792,46914
32796,20139
32798,2550
32801,12050
32803,19020
32804,17312
32805,21810
32806,24820
32807,31465
32808,46334
32809,26773
32810,32210
32811,35825
32812,32844
32814,6151
32817,35105
32818,43911
32819,24976
32820,7974
32821,21423
32822,53029
32824,37401
32825,53024
32826,29347
32827,6362
32828,57881
32829,17822
32830,26
32831,2542
32832,13787
32833,9241
32835,39633
32836,16647
32837,51219
32839,50279
32901,24521
32903,12869
32904,26710
32905,22084
32907,41870
32908,10892
32909,30120
32920,9848
32922,14916
32925,1222
32926,22752
32927,28092
32931,13567
32934,17338
32935,39082
32937,24969
32940,31999
32948,6773
32949,2248
32950,3982
32951,10673
32952,19881
32953,22754
32955,36374
32958,25366
32960,20037
32962,22716
32963,14911
32966,15626
32967,19518
32968,12830
32970,303
32976,9079
