GEOID,POP10
90001,57110
90002,51223
90003,66266
90004,62180
90005,37681
90006,59185
90007,40920
90008,32327
90010,3800
90011,103892
90012,31103
90013,11772
90014,7005
90015,18986
90016,47596
90017,23768
90018,49310
90019,64458
90020,38967
90021,3951
90022,67179
90023,45903
90024,47452
90025,42147
90026,67869
90027,45151
90028,28714
90029,38617
90031,39316
90032,45786
90033,48852
90034,57964
90035,28418
90036,36865
90037,62276
90038,28917
90039,28514
90040,12520
90041,27425
90042,62430
90043,44789
90044,89779
90045,39480
90046,48581
90047,48606
90048,21397
90049,35482
90056,7827
90057,44998
90058,3223
90059,40952
90061,26872
90062,32821
90063,55758
90064,25403
90065,45527
90066,55277
90067,2424
90068,22286
90069,20483
90071,15
90073,539
90077,9377
90079,0
90089,3217
90090,0
90094,5464
90095,3
90201,101279
90210,21741
90211,8434
90212,11555
90220,49328
90221,53704
90222,31869
90230,31766
90232,15149
90240,25876
90241,42399
90242,43497
90245,16654
90247,47487
90248,9947
90249,26669
90250,93193
90254,19506
90255,75066
90260,34924
90262,69745
90263,1612
90265,18116
90266,35135
90270,27372
90272,22986
90274,25209
90275,41804
90277,35293
90278,40071
90280,94396
90290,6368
90291,28341
90292,21576
90293,12132
90301,36568
90302,29415
90303,26176
90304,28210
90305,14853
90401,6722
90402,12250
90403,24525
90404,21360
90405,27186
90501,43180
90502,18010
90503,44383
90504,32102
90505,36678
90506,0
90601,31974
90602,25777
90603,20063
90604,39407
90605,40331
90606,32396
90620,45113
90621,35153
90623,15554
90630,47993
90631,67619
90638,49012
90640,62549
90650,105549
90660,62928
90670,14866
90680,29945
90701,16591
90703,49399
90704,4090
90706,76615
90710,25457
90712,31499
90713,27925
90715,20388
90716,14184
90717,21318
90720,21751
90723,54099
90731,59662
90732,21115
90740,23729
90742,831
90743,456
90744,53815
90745,57251
90746,25990
90747,0
90755,11074
90802,39347
90803,32031
90804,40311
90805,93524
90806,42399
90807,31481
90808,38232
90810,36735
90813,58911
90814,19131
90815,39733
90822,117
90831,0
