GEOID,INTPTLAT,INTPTLONG
66002,39.538742,-95.137635
66006,38.804266,-95.232670
66007,39.156220,-94.941650
66008,39.718049,-95.176504
66010,38.088217,-94.979170
66012,39.065593,-94.919276
66013,38.730666,-94.695551
66014,38.228845,-94.987105
66015,38.074849,-95.413199
66016,39.475168,-95.231745
66017,39.703716,-95.273961
66018,38.962643,-94.964154
66019,38.945440,-95.003284
66020,39.339341,-95.116107
66021,38.766280,-95.014400
66023,39.512289,-95.392403
66024,39.736988,-94.881614
66025,38.891903,-95.083340
66026,38.396304,-94.864355
66027,39.368618,-94.911426
66030,38.815137,-94.940266
66031,38.832069,-94.890084
66032,38.286777,-95.278214
66033,38.363289,-95.122267
66035,39.870996,-95.253591
66039,38.104411,-95.164855
66040,38.354528,-94.747904
66041,39.600303,-95.307974
66042,38.422786,-95.079886
66043,39.251199,-94.882513
66044,39.023294,-95.208909
66045,38.958845,-95.247749
66046,38.904524,-95.209753
66047,38.892426,-95.346521
66048,39.282330,-94.995995
66049,38.978105,-95.344139
66050,39.011834,-95.442516
66052,39.015766,-95.048266
66053,38.581078,-94.668065
66054,39.206136,-95.198043
66056,38.151453,-94.844282
66058,39.541067,-95.520384
66060,39.418161,-95.332230
66061,38.893764,-94.879975
66062,38.835366,-94.778679
66064,38.480714,-94.988936
66066,39.203002,-95.330593
66067,38.623617,-95.276284
66070,39.205690,-95.450917
66071,38.573078,-94.864562
66072,38.309431,-94.963963
66073,39.082417,-95.368342
66075,38.200521,-94.693412
66076,38.632455,-95.443013
66078,38.485440,-95.259302
66079,38.542467,-95.108134
66080,38.406970,-95.260197
66083,38.730587,-94.831552
66085,38.798768,-94.656684
66086,39.119526,-95.081230
66087,39.802081,-95.122122
66088,39.339329,-95.461198
66090,39.788124,-94.973467
66091,38.178278,-95.312532
66092,38.701500,-95.097953
66093,38.207810,-95.494138
66094,39.951286,-95.342440
66095,38.441094,-95.438861
66097,39.328599,-95.246083
66101,39.118982,-94.625983
66102,39.108964,-94.692538
66103,39.060338,-94.626797
66104,39.150204,-94.689501
66105,39.087011,-94.638934
66106,39.069454,-94.702613
66109,39.165351,-94.829341
66111,39.084010,-94.789981
66112,39.114520,-94.773577
66115,39.148258,-94.605084
66118,39.103981,-94.613129
66202,39.023150,-94.669466
66203,39.020331,-94.705787
66204,38.990381,-94.678214
66205,39.031176,-94.630762
66206,38.960717,-94.620277
66207,38.955644,-94.643247
66208,38.998262,-94.628568
66209,38.899600,-94.638358
66210,38.921707,-94.704655
66211,38.923059,-94.636336
66212,38.955565,-94.679875
66213,38.898859,-94.708219
66214,38.967425,-94.714087
66215,38.957701,-94.744269
66216,39.013774,-94.741577
66217,39.009521,-94.782287
66218,39.020690,-94.818803
66219,38.952366,-94.776220
66220,38.961714,-94.819584
66221,38.863662,-94.708502
66223,38.863482,-94.668479
66224,38.863539,-94.626804
66226,39.030902,-94.859095
66227,38.972676,-94.874826
66401,38.932251,-96.309695
66402,38.914000,-95.843270
66403,39.893573,-96.285893
66404,39.878146,-96.173343
66406,39.894106,-96.420729
66407,39.228519,-96.198795
66408,39.959454,-95.969994
66409,38.924185,-95.559640
66411,39.645460,-96.628455
66412,39.907630,-96.777462
66413,38.768874,-95.880727
66414,38.830304,-95.688649
66415,39.688276,-96.147458
66416,39.525706,-95.863240
66417,39.656559,-96.044857
66418,39.279496,-95.933586
66419,39.360679,-95.598882
66422,39.336294,-96.085516
66423,38.801294,-96.232746
66424,39.674689,-95.404063
66425,39.816196,-95.738422
66427,39.661283,-96.438829
66428,39.676115,-95.931359
66429,39.093770,-95.534186
66431,38.802909,-96.003769
66432,39.489763,-96.066716
66434,39.861691,-95.549365
