GEOID,POP10
36003,1975
36005,1522
36006,1313
36009,2566
36010,4677
36013,562
36016,5150
36017,3318
36020,1123
36022,13092
36024,5428
36025,5729
36026,1089
36027,16261
36028,1746
36029,723
36030,491
36031,156
36032,2339
36033,4299
36034,807
36035,1913
36036,2003
36037,14074
36038,57
36039,253
36040,3976
36041,1318
36042,1500
36043,3666
36046,1490
36047,1396
36048,1459
36049,5706
36051,2304
36052,739
36053,1967
36054,15066
36064,6753
36066,19089
36067,26954
36069,1935
36071,766
36075,2226
36078,13179
36079,9339
36080,2271
36081,15267
36082,1667
36083,9563
36088,4767
36089,8760
36091,3648
36092,20274
36093,9456
36104,9468
36105,12043
36106,15211
36107,9589
36108,21306
36109,24777
36110,12997
36111,12176
36112,553
36113,1902
36115,623
36116,43790
36117,50268
36201,20156
36203,18799
36205,635
36206,11427
36207,19801
36250,4603
36251,5103
36255,969
36256,1570
36258,1599
36260,4247
36262,1448
36263,658
36264,8659
36265,21060
36266,5582
36267,35
36268,5432
36269,1395
36271,6023
36272,13389
36273,2914
36274,11199
36276,2592
36277,5420
36278,4366
36279,2645
36280,3932
36301,35759
36303,30217
36305,14470
36310,6783
36311,2770
36312,6187
36313,285
36314,595
36316,1722
36317,590
36318,1296
36319,2276
36320,3837
36321,1632
36322,9072
36323,8255
36330,35530
36340,5490
36343,1579
36344,5732
36345,7822
36346,1456
36350,6540
36351,3146
36352,4885
36353,1968
36360,20157
36362,4637
36370,972
36371,720
36373,581
36374,970
36375,7390
36376,2445
36401,8314
36420,10673
36421,9241
36425,1008
36426,16202
36432,2420
36435,579
36436,531
36439,583
36441,3576
36442,3555
36444,702
36445,5050
36446,490
36451,4977
36453,2198
36454,51
36455,465
36456,1820
36460,10738
36467,10058
36470,98
36471,1257
36473,106
36474,2926
36475,2208
36476,51
36477,4946
36480,1773
36481,593
36482,1090
36483,536
36502,18355
36505,1481
36507,19090
36509,1983
36511,764
36512,46
36513,555
36518,2842
36521,5431
36522,7183
36523,2818
36524,1232
36525,1935
36526,27890
36527,12109
36528,1237
36529,478
36530,6873
36532,27829
36535,26767
36538,374
36539,802
36540,691
36541,15647
36542,12705
36543,66
36544,12476
36545,9941
36548,1136
36549,4271
36550,217
36551,8258
36553,3575
36555,654
36556,308
36558,3854
36559,233
36560,3690
36561,5808
36562,1596
36564,107
36567,12672
36568,162
36569,928
36571,14423
36572,6340
36574,1341
36575,18345
36576,4143
36578,1749
36579,1590
36580,5420
36581,224
36582,24624
36583,639
36584,772
36585,972
36587,12053
36590,20
36602,1057
36603,7922
36604,10456
36605,30111
36606,18733
36607,6852
36608,36864
36609,25846
36610,13209
36611,6106
36612,4541
36613,12749
36615,391
36616,27
36617,13967
36618,16737
36619,14269
36688,659
36693,17847
36695,45118
36701,24268
36703,13643
36720,784
36722,472
36723,230
36726,4814
36727,61
36728,461
36732,8395
36736,1207
36738,952
36740,1328
36742,2554
36744,7419
36748,3260
36749,1089
36750,2901
36751,945
36752,1644
36753,85
36754,344
36756,6165
36758,1412
36759,1501
36761,1161
36763,139
36765,1294
36766,25
36767,2012
36768,1096
36769,3014
36773,512
36775,800
36776,1489
36782,2405
36783,945
36784,7754
36785,1165
36786,3365
36790,139
36792,1169
36793,568
36801,22214
36804,16861
36830,33201
36832,22071
36849,3150
36850,2630
36852,2129
36853,8269
36854,14576
36855,1551
36856,3719
36858,441
36859,34
36860,1580
36861,3264
36862,6623
36863,11672
36865,23
36866,3955
36867,22210
36869,18751
36870,18783
36871,1277
36874,7901
36875,4622
36877,11414
36879,2114
36901,329
36904,4098
36907,1930
36908,2417
36910,35
36912,2017
36913,53
36915,627
36916,709
36919,2143
36921,1035
36922,656
36925,3115
