GEOID,POP10
40003,1902
40004,28245
40006,5084
40007,166
40008,3476
40009,1051
40010,587
40011,2549
40012,589
40013,5369
40014,19986
40019,3789
40020,109
40022,834
40023,4118
40025,59
40026,5458
40031,22863
40033,12355
40036,223
40037,2864
40040,531
40041,286
40045,3451
40046,1741
40047,19345
40048,113
40049,115
40050,1389
40051,4799
40052,515
40055,1752
40056,3263
40057,3354
40058,64
40059,16708
40060,1184
40062,301
40063,789
40065,28025
40067,5114
40068,2131
40069,8276
40070,582
40071,14292
40075,1323
40076,2516
40077,564
40078,2200
40104,1336
40107,2067
40108,11583
40109,1990
40110,60
40111,1682
40115,727
40117,2299
40118,9724
40119,1797
40121,10124
40140,787
40142,2304
40143,5939
40144,1866
40145,908
40146,3745
40150,4103
40152,604
40155,947
40157,876
40160,23574
40161,178
40162,6056
40165,32726
40170,344
40171,243
40175,13070
40176,931
40177,1463
40178,468
40202,6772
40203,19694
40204,14236
40205,23678
40206,18865
40207,29745
40208,13227
40209,360
40210,14822
40211,22612
40212,17685
40213,16796
40214,45291
40215,22287
40216,40746
40217,12507
40218,31658
40219,38032
40220,33109
40222,21359
40223,22011
40228,15743
40229,36852
40231,0
40241,28988
40242,10930
40243,10210
40245,30109
40258,26465
40272,37394
40280,303
40291,35427
40299,38371
40310,526
40311,7153
40312,5898
40313,3143
40316,309
40322,3328
40324,41342
40328,1065
40330,19334
40334,76
40336,13061
40337,5501
40339,46
40342,21125
40346,686
40347,2767
40348,600
40350,228
40351,20329
40353,20779
40356,40503
40358,904
40359,7080
40360,6564
40361,18220
40363,22
40370,2763
40371,2838
40372,2128
40374,1702
40376,52
40379,3288
40380,6612
40383,22408
40385,3131
40387,2046
40390,7366
40391,35262
40402,2905
40403,23774
40404,643
40409,3843
40419,4621
40422,24280
40434,34
40437,4932
40440,2092
40442,1136
40444,14096
40445,997
40447,8251
40448,53
40456,9300
40460,1129
40461,3121
40464,1114
40468,1807
40472,1679
40475,55803
40481,218
40484,11612
40486,2223
40489,4109
40502,25709
40503,28003
40504,25655
40505,26040
40506,2802
40507,1757
40508,23569
40509,32364
40510,1928
40511,31798
40513,10994
40514,14647
40515,33595
40516,2877
40517,35227
40601,49566
40604,462
40701,29497
40729,5485
40734,3764
40737,1379
40740,3321
40741,21875
40743,229
40744,18334
40759,2531
40763,469
40769,18507
40771,1068
40801,531
40806,2499
40807,337
40808,99
40810,1548
40813,669
40815,1534
40816,78
40818,110
40819,729
40820,581
40823,4231
40824,559
40826,759
40827,674
40828,3965
40829,172
40830,301
40831,5150
40840,312
40843,259
40844,123
40845,635
40847,261
40849,352
40854,1213
40855,860
40856,756
40858,397
40862,647
40863,502
40865,410
40868,1100
40870,279
40873,2390
40874,504
40902,1239
40903,681
40906,11132
40913,171
40914,467
40915,896
40921,295
40923,735
40927,482
40935,2699
40939,273
40940,478
40941,251
40943,748
40946,220
40949,788
40953,998
40958,451
40962,19143
40964,151
40965,13570
40972,1327
40977,10362
40979,148
40982,388
40983,352
40988,555
40995,121
40997,371
