GEOID,INTPTLAT,INTPTLONG
98001,47.309496,-122.264469
98002,47.308286,-122.216812
98003,47.307713,-122.315773
98004,47.618337,-122.205341
98005,47.614533,-122.168798
98006,47.557627,-122.151005
98007,47.613825,-122.144365
98008,47.605797,-122.099118
98010,47.312036,-122.000418
98011,47.753335,-122.201968
98012,47.841169,-122.199069
98014,47.660445,-121.891613
98019,47.734333,-121.855307
98020,47.802344,-122.374193
98021,47.792523,-122.208216
98022,47.216372,-121.912906
98023,47.311414,-122.362910
98024,47.573424,-121.899182
98026,47.840794,-122.332985
98027,47.493732,-121.998724
98028,47.755680,-122.248076
98029,47.557085,-122.007748
98030,47.368522,-122.197976
98031,47.405479,-122.195772
98032,47.391942,-122.257192
98033,47.675982,-122.193578
98034,47.715769,-122.213748
98036,47.809708,-122.280394
98037,47.839227,-122.285468
98038,47.419378,-121.958008
98039,47.631695,-122.240405
98040,47.567716,-122.232776
98042,47.367737,-122.117029
98043,47.791198,-122.307751
98045,47.390316,-121.606826
98047,47.261769,-122.248889
98050,47.545269,-121.939288
98051,47.346210,-121.881291
98052,47.680990,-122.120531
98053,47.669312,-122.010131
98055,47.446982,-122.201521
98056,47.512527,-122.190248
98057,47.472020,-122.221900
98058,47.442737,-122.123973
98059,47.499676,-122.113291
98065,47.584223,-121.791951
98068,47.431918,-121.374061
98070,47.407196,-122.473322
98072,47.760785,-122.130531
98074,47.622542,-122.044210
98075,47.586092,-122.037436
98077,47.752379,-122.060283
98087,47.863071,-122.266976
98092,47.290287,-122.126874
98101,47.610902,-122.336422
98102,47.637140,-122.321891
98103,47.678255,-122.338152
98104,47.601884,-122.329459
98105,47.659861,-122.284977
98106,47.544034,-122.349874
98107,47.667527,-122.377551
98108,47.534862,-122.305794
98109,47.631863,-122.344267
98110,47.646967,-122.534561
98112,47.632810,-122.288511
98115,47.685746,-122.281589
98116,47.573933,-122.400175
98117,47.687761,-122.384870
98118,47.540246,-122.268545
98119,47.638679,-122.370946
98121,47.615192,-122.350581
98122,47.611046,-122.293207
98125,47.716513,-122.295829
98126,47.555647,-122.379590
98133,47.740475,-122.342869
98134,47.577599,-122.338045
98136,47.536464,-122.394409
98144,47.585621,-122.292492
98146,47.500058,-122.357848
98148,47.444098,-122.324859
98154,47.606211,-122.333792
98155,47.754413,-122.300477
98158,47.449670,-122.307643
98164,47.605962,-122.332029
98166,47.451576,-122.352986
98168,47.489569,-122.299960
98174,47.604569,-122.335359
98177,47.742239,-122.376608
98178,47.499387,-122.243851
98188,47.447335,-122.273092
98195,47.648763,-122.308282
98198,47.391324,-122.314976
98199,47.651371,-122.407349
98201,48.006311,-122.210044
98203,47.945519,-122.231096
98204,47.901362,-122.260891
98205,47.988498,-122.150188
98207,47.987720,-122.223307
98208,47.901779,-122.187144
98220,48.684945,-122.195194
98221,48.505025,-122.659285
98222,48.566815,-122.818103
98223,48.216688,-121.952185
98224,47.595814,-121.470910
98225,48.754092,-122.508129
98226,48.798598,-122.445452
98229,48.696127,-122.413538
98230,48.953983,-122.712014
98232,48.570552,-122.411065
98233,48.500949,-122.345587
98235,48.462505,-122.233980
98236,47.948393,-122.412822
98237,48.566272,-121.689225
98238,48.335389,-122.344620
98239,48.196498,-122.657954
98240,48.948225,-122.620684
98241,48.191666,-121.208822
98243,48.608978,-123.003654
98244,48.831811,-121.933829
98245,48.619663,-122.871770
98247,48.911877,-122.330145
98248,48.864419,-122.619419
98249,48.014236,-122.542794
98250,48.573276,-123.115077
98251,47.912317,-121.606822
98252,48.072560,-121.689606
98253,48.092397,-122.576537
98255,48.522120,-121.989398
98256,47.821438,-121.406433
98257,48.406025,-122.512147
98258,48.044199,-122.076876
98260,48.033231,-122.453899
98261,48.482492,-122.883959
98262,48.674357,-122.646705
98263,48.523723,-122.065301
98264,48.950253,-122.459792
98266,48.963970,-122.122666
98267,48.437623,-121.299048
98270,48.056723,-122.146904
98271,48.089968,-122.237681
98272,47.848591,-121.894951
98273,48.402754,-122.376148
98274,48.348771,-122.145467
98275,47.916514,-122.303436
98276,48.926701,-122.326183
98277,48.315856,-122.628582
98278,48.339706,-122.671656
98279,48.638895,-122.807614
98280,48.608001,-122.910285
98281,48.991930,-123.051184
98282,48.214112,-122.500231
98283,48.802055,-121.260324
98284,48.546532,-122.123032
98286,48.568814,-122.957539
98288,47.661553,-121.278786
98290,47.955602,-121.986472
98292,48.216792,-122.314390
98294,47.874679,-121.753864
98295,48.981355,-122.200106
98296,47.839066,-122.101113
98297,48.702062,-123.026507
98303,47.157405,-122.693536
98304,46.883744,-121.736809
98305,48.062891,-124.439072
98310,47.591960,-122.626274
98311,47.631197,-122.631017
98312,47.580848,-122.784369
98314,47.556287,-122.637118
98315,47.724550,-122.716011
98320,47.718543,-122.966923
98321,47.152606,-122.071738
98323,47.043083,-121.827511
98325,47.966648,-122.759697
98326,48.179735,-124.411660
98327,47.102369,-122.664690
98328,46.865890,-122.157916
98329,47.368089,-122.726052
98330,46.776116,-122.168652
98331,47.777349,-124.191674
98332,47.372495,-122.595828
98333,47.252432,-122.639996
98335,47.296947,-122.623661
98336,46.582238,-122.074030
98337,47.568714,-122.631558
98338,47.034316,-122.276854
98339,48.024005,-122.749033
98340,47.907713,-122.570676
98342,47.755326,-122.511506
98345,47.698622,-122.623850
98346,47.821069,-122.525526
98349,47.272817,-122.763956
98350,47.906330,-124.621522
98351,47.199642,-122.774272
98353,47.538640,-122.492613
98354,47.251994,-122.317289
98355,46.703778,-122.040018
98356,46.561126,-122.290287
98357,48.333855,-124.635404
98358,48.063796,-122.713163
98359,47.431079,-122.574916
98360,47.040716,-122.144709
98361,46.538662,-121.504714
98362,47.930938,-123.368031
98363,48.002744,-123.820847
98364,47.847110,-122.588364
98365,47.884830,-122.701370
98366,47.536047,-122.578944
98367,47.461264,-122.699443
98368,48.034402,-122.838953
98370,47.754028,-122.626331
98371,47.199448,-122.323541
98372,47.205648,-122.266339
98373,47.145083,-122.324153
