GEOID,POP10
98001,31911
98002,31647
98003,44151
98004,27946
98005,17714
98006,36364
98007,24889
98008,24411
98010,5025
98011,29212
98012,51136
98014,6765
98019,10725
98020,18304
98021,26722
98022,20987
98023,47510
98024,5650
98026,35921
98027,26141
98028,20419
98029,24348
98030,33769
98031,36581
98032,33853
98033,34338
98034,40407
98036,36000
98037,26889
98038,31171
98039,2971
98040,22699
98042,43673
98043,19943
98045,13888
98047,6339
98050,322
98051,3270
98052,58442
98053,18784
98055,21904
98056,32489
98057,10613
98058,41938
98059,34463
98065,12699
98068,403
98070,10624
98072,22312
98074,25748
98075,20715
98077,13585
98087,29976
98092,39816
98101,10238
98102,20756
98103,45911
98104,13095
98105,43924
98106,22873
98107,21147
98108,22374
98109,20715
98110,23025
98112,21077
98115,46206
98116,22241
98117,31365
98118,42731
98119,21039
98121,12628
98122,31454
98125,37081
98126,20698
98133,44555
98134,644
98136,14770
98144,26881
98146,25922
98148,10010
98154,0
98155,32778
98158,0
98164,141
98166,20301
98168,33734
98174,0
98177,19030
98178,24092
98188,23111
98195,0
98198,34584
98199,19686
98201,29582
98203,34354
98204,39380
98205,12283
98207,758
98208,51802
98220,634
98221,20429
98222,33
98223,40815
98224,294
98225,46172
98226,41235
98229,30321
98230,15710
98232,3920
98233,14871
98235,103
98236,5635
98237,4025
98238,85
98239,6646
98240,3061
98241,2129
98243,507
98244,3001
98245,3651
98247,9072
98248,22361
98249,4561
98250,7664
98251,4567
98252,8777
98253,1837
98255,245
98256,420
98257,4134
98258,30524
98260,5278
98261,2383
98262,964
98263,76
98264,18893
98266,3642
98267,534
98270,45899
98271,27184
98272,27942
98273,28717
98274,16613
98275,20256
98276,450
98277,37823
98278,1065
98279,608
98280,480
98281,1314
98282,15661
98283,434
98284,24331
98286,240
98288,333
98290,32714
98292,20987
98294,6595
98295,2409
98296,27956
98297,106
98303,1037
98304,759
98305,358
98310,18703
98311,25880
98312,30203
98314,3329
98315,6054
98320,1250
98321,15152
98323,702
98325,1848
98326,1412
98327,8267
98328,10433
98329,10545
98330,149
98331,6261
98332,15855
98333,3633
98335,24925
98336,970
98337,6697
98338,24098
98339,3326
98340,2537
98342,1370
98345,554
98346,9297
98349,4614
98350,460
98351,1115
98353,4
98354,6976
98355,628
98356,2149
98357,1414
98358,897
98359,4887
98360,12221
98361,1158
98362,22230
98363,13343
98364,45
98365,4528
98366,34258
98367,27693
98368,14724
98370,29528
98371,20468
98372,22475
98373,22246
98374,37360
98375,26863
98376,1998
98377,1922
98380,4173
98381,371
98382,26856
98383,19727
98385,459
98387,43173
98388,7508
98390,10461
98391,44309
98392,2994
98394,1107
98396,662
98402,6356
98403,7713
98404,32086
98405,22851
98406,21610
98407,19885
98408,18830
98409,22989
98416,1014
98418,10069
98421,1308
98422,20151
98424,10140
98430,13
98433,14584
98438,366
98439,4839
98443,5371
98444,33956
98445,29661
98446,10173
98447,842
98465,6340
98466,26944
98467,14728
98498,27546
98499,29750
98501,38133
98502,30491
98503,36611
98506,18199
98512,28130
98513,31975
98516,20166
98520,23814
98524,3232
98526,398
98527,324
98528,9983
98530,565
98531,24121
98532,23596
98533,609
98535,445
98536,211
98537,2129
98538,304
98541,10101
98542,656
98544,73
98546,2909
98547,1436
98548,2193
98550,11382
98552,508
98555,599
98557,3225
98558,192
98559,93
98560,142
98562,195
98563,8001
98564,2459
98565,618
98568,2519
98569,5784
98570,3889
98571,483
98572,797
98575,228
98576,4667
98577,6338
98579,12870
98580,11099
98581,424
98582,611
98583,124
98584,36630
98585,655
98586,1944
98587,942
98588,1829
98589,7320
98590,356
98591,3952
98592,1764
98593,1113
98595,2917
98596,6524
98597,21557
98601,2982
98602,200
98603,1017
98604,34232
98605,1225
98606,9027
98607,27899
98610,2871
98611,9133
98612,2704
98613,400
98614,353
98616,150
98617,1042
98619,457
98620,7123
98621,276
98624,1532
98625,6133
98626,24523
98628,385
98629,8364
98631,3243
98632,49205
98635,1735
98638,1525
98639,847
98640,4380
98641,5
98642,15696
98643,362
98644,473
98645,1429
98647,404
98648,3100
98649,895
98650,959
98651,939
98660,11858
98661,41740
98662,31644
98663,14115
98664,21771
98665,24057
98670,113
98671,21220
98672,6146
98673,404
98674,12029
98675,6713
98682,52893
98683,30832
98684,26968
98685,26217
98686,17385
98801,40977
98802,28719
98811,71
98812,4899
98813,3176
98814,466
98815,7233
98816,6394
98817,366
98819,258
98821,519
98822,1953
98823,11055
98824,181
98826,6504
98827,312
98828,2146
98829,564
98830,494
98831,3708
98832,320
98833,150
98834,239
98836,584
98837,39722
98840,4851
98841,9197
98843,1817
98844,4740
98845,128
98846,1173
98847,1920
98848,11518
98849,1078
98850,1543
98851,4014
98852,104
98853,23
98855,5863
98856,2464
98857,4082
98858,1521
98859,238
98860,259
98862,2218
98901,30169
98902,46322
98903,14517
98908,35240
98921,516
98922,5468
98923,1434
98925,689
98926,30239
98929,0
98930,15252
98932,5032
98933,1267
98934,1117
98935,4190
98936,5872
98937,4112
98938,2177
98939,167
98940,760
98941,919
98942,16973
98943,660
98944,22014
98946,495
98947,2902
98948,13225
98950,177
98951,13739
98952,2330
98953,6681
