GEOID,POP10
05001,9123
05031,218
05032,2664
05033,2744
05034,310
05035,638
05036,1037
05037,560
05038,1230
05039,1110
05040,471
05041,354
05042,605
05043,937
05045,1758
05046,1139
05048,2429
05050,146
05051,1549
05052,348
05053,332
05055,3363
05056,567
05058,346
05059,874
05060,4415
05061,1679
05062,702
05065,1064
05067,258
05068,3125
05069,555
05070,484
05071,324
05072,526
05075,1113
05076,412
05077,1215
05079,730
05081,550
05083,151
05084,140
05086,793
05089,4979
05091,3288
05101,4643
05141,112
05142,680
05143,4343
05146,750
05148,1140
05149,2092
05150,831
05151,1553
05152,448
05153,687
05154,661
05155,828
05156,9226
05158,1049
05161,552
05201,14851
05250,3408
05251,1350
05252,274
05253,685
05254,273
05255,4121
05257,2718
05260,459
05261,2738
05262,2547
05301,16820
05340,763
05341,407
05342,581
05343,917
05345,2119
05346,5184
05350,763
05352,824
05353,1072
05354,2210
05355,813
05356,717
05358,148
05359,594
05360,251
05361,947
05362,127
05363,2021
05401,28185
05403,17593
05404,7240
05405,4406
05408,10114
05439,1734
05440,1998
05441,958
05442,339
05443,6656
05444,1714
05445,3754
05446,15373
05447,79
05448,1134
05450,4977
05452,19710
05454,4447
05455,1080
05456,1277
05457,1617
05458,2044
05459,2156
05461,4542
05462,1938
05463,471
05464,3008
05465,5355
05468,12942
05471,896
05472,1643
05473,1413
05474,803
05476,3183
05477,4397
05478,14449
05481,0
05482,7198
05483,1303
05485,93
05486,1654
05487,1498
05488,7690
05489,3174
05491,5909
05492,682
05494,1767
05495,9341
05602,11916
05640,161
05641,17169
05647,1141
05648,423
05649,574
05650,1123
05651,1546
05652,776
05653,547
05654,970
05655,2868
05656,3508
05657,56
05658,1402
05660,1660
05661,5620
05663,6773
05664,80
05667,2166
05669,634
05672,4314
05673,2574
05674,1705
05675,1064
05676,4984
05677,2232
05678,163
05679,3296
05680,2168
05681,458
05682,1251
05701,20802
05730,302
05732,708
05733,5895
05734,1306
05735,4402
05736,684
05737,875
05738,1072
05739,1407
05740,25
05742,597
05743,4330
05744,533
05747,280
05748,323
05751,811
05753,10491
05757,832
05758,784
05759,1827
05760,1123
05761,1000
05762,542
05763,2747
05764,3452
05765,1803
05766,572
05767,1143
05769,1216
05770,1136
05772,713
05773,2136
05774,1129
05775,623
05776,714
05777,3420
05778,733
05819,9444
05820,662
05821,1269
05822,1873
05824,1139
05825,191
05826,983
05827,309
05828,1928
05829,2003
05830,1502
05832,982
05833,273
05836,1068
05837,353
05839,775
05841,425
05842,522
05843,2556
05845,1096
05846,1252
05847,879
05850,231
05851,6528
05853,711
05855,7170
05857,1540
05858,368
05859,1819
05860,2557
05862,356
05866,732
05867,899
05868,364
05871,1638
05872,789
05873,675
05874,505
05875,454
05901,20
05902,188
05903,868
05904,267
05905,827
05906,1178
05907,177
