GEOID,POP10
93001,32990
93003,50474
93004,29149
93010,42901
93012,34617
93013,16091
93015,17334
93021,36422
93022,6106
93023,20589
93030,59372
93033,82728
93035,27732
93036,41691
93040,2031
93041,23641
93042,56
93043,333
93060,32811
93063,54366
93064,40
93065,72508
93066,3102
93067,895
93101,31683
93103,20249
93105,24815
93108,11112
93109,10858
93110,16829
93111,17370
93117,53217
93201,1348
93202,4143
93203,20938
93204,15529
93205,2113
93206,2300
93207,263
93208,104
93210,19504
93212,26079
93215,55659
93218,994
93219,10194
93220,211
93221,14945
93222,2099
93223,10604
93224,451
93225,5077
93226,282
93230,65264
93234,6987
93235,4559
93238,1490
93239,1688
93240,6056
93241,17489
93242,3468
93243,1699
93244,534
93245,37412
93247,17423
93249,2739
93250,13522
93251,270
93252,4176
93254,811
93255,614
93256,5753
93257,75004
93258,2046
93260,200
93261,3099
93262,63
93263,19582
93265,3699
93266,1587
93267,6237
93268,16897
93270,5837
93271,2276
93272,3583
93274,69721
93276,161
93277,50607
93280,27152
93283,2040
93285,2536
93286,9548
93287,119
93291,52849
93292,39032
93301,12248
93304,48731
93305,37601
93306,64587
93307,82658
93308,52447
93309,58409
93311,40829
93312,56741
93313,43553
93314,22393
93401,28033
93402,14318
93405,35440
93410,0
93420,28413
93422,31375
93424,1261
93426,1401
93427,5505
93428,6314
93429,154
93430,2972
93432,1384
93433,13162
93434,7110
93436,54017
93437,3338
93440,2058
93441,1530
93442,10789
93444,19244
93445,7173
93446,43714
93449,7657
93450,740
93451,3779
93452,524
93453,2899
93454,36448
93455,41684
93458,55431
93460,5255
93461,1623
93463,7646
93465,9153
93501,5467
93505,14038
93510,7993
93512,277
93513,1763
93514,13857
93516,2299
93517,670
93518,1146
93519,101
93522,48
93523,3074
93524,229
93526,719
93527,2387
93528,172
93529,633
93530,47
93531,509
93532,2932
93534,39341
93535,72046
93536,70918
93541,449
93543,13033
93544,1259
93545,2082
93546,9567
93549,344
93550,74929
93551,50798
93552,38158
93553,2138
93554,72
93555,32560
93558,125
93560,18910
93561,34630
93562,1818
93563,388
93591,7285
93592,64
93601,1909
93602,3862
93603,222
93604,674
93605,175
93606,1217
93608,1114
93609,5640
93610,23833
93611,45614
93612,35351
93614,11661
93615,6042
93616,2627
93618,28262
93619,28965
93620,9591
93621,464
93622,9581
93623,69
93624,1134
93625,7313
93626,1359
93627,123
93628,327
93630,19162
93631,15941
93633,25
93634,33
93635,38776
93636,11908
93637,37743
93638,49068
93640,11880
93641,595
93643,3171
93644,8637
93645,318
93646,10557
93647,11874
93648,15719
93650,4055
93651,1674
93652,415
93653,1229
93654,29776
93656,6313
93657,34999
93660,4675
93662,30237
93664,585
93665,472
93666,692
93667,2604
93668,1118
93669,295
93673,713
93675,3721
93701,12529
93702,48607
93703,31868
93704,27156
93705,36703
93706,41087
93710,30202
93711,36731
93720,45191
93721,6959
93722,76448
93723,9547
93725,24979
93726,40705
93727,71820
93728,15743
93730,9941
93901,26863
93905,61087
93906,59461
93907,21726
93908,13043
93920,1369
93921,3281
93923,12073
93924,6279
93925,1671
93926,8726
93927,17547
93928,506
93930,15866
93932,592
93933,22406
93940,31615
93943,6
93950,15046
93953,4509
93954,302
93955,33359
93960,27080
93962,673
