GEOID,POP10
72001,566
72002,14134
72003,746
72004,1311
72005,248
72006,2603
72007,6708
72010,6577
72011,4074
72012,11986
72013,2197
72014,60
72015,27307
72016,3268
72017,726
72019,23346
72020,4295
72021,4348
72022,14270
72023,35026
72024,3777
72025,847
72026,393
72027,1417
72029,1912
72030,705
72031,7683
72032,31436
72034,44723
72035,1083
72036,817
72037,28
72038,74
72039,2131
72040,2867
72041,1457
72042,5161
72044,881
72045,1151
72046,4470
72047,969
72048,114
72051,622
72055,849
72057,1070
72058,15911
72059,37
72060,666
72061,250
72063,1683
72064,2451
72065,5207
72067,2726
72068,424
72069,1369
72070,1813
72072,544
72073,1139
72074,167
72076,37979
72079,786
72080,662
72081,7798
72082,1935
72083,237
72084,1229
72085,220
72086,10727
72087,2051
72088,2391
72099,616
72101,3378
72102,2873
72103,13078
72104,23354
72106,5376
72107,339
72108,73
72110,11498
72111,1362
72112,11467
72113,21273
72114,12658
72116,21431
72117,12684
72118,22592
72119,5
72120,31610
72121,2704
72122,927
72123,450
72125,905
72126,3674
72127,2149
72128,814
72129,1409
72130,560
72131,4631
72132,3242
72134,315
72135,2623
72136,1772
72137,2555
72139,216
72140,305
72141,625
72142,2499
72143,35169
72149,0
72150,12006
72152,429
72153,2572
72156,639
72157,1607
72160,10736
72165,111
72166,260
72167,1719
72168,1834
72169,203
72170,202
72173,9078
72175,354
72176,8141
72179,450
72181,62
72201,1024
72202,9978
72204,32505
72205,23000
72206,25624
72207,10344
72209,32376
72210,14258
72211,21288
72212,12705
72223,19890
72227,11462
72301,26069
72311,135
72315,23966
72320,1847
72321,154
72322,195
72324,1978
72325,43
72326,2267
72327,1732
72328,64
72329,80
72330,756
72331,3184
72332,104
72333,667
72335,20121
72338,52
72339,204
72340,90
72341,222
72342,5532
72346,697
72347,711
72348,2594
72350,1226
72351,835
72353,114
72354,2470
72355,2768
72358,1690
72359,430
72360,6466
72364,15831
72365,3146
72366,2543
72367,108
72368,1228
72370,8606
72372,1945
72373,1329
72374,876
72376,1977
72377,36
72379,50
72383,53
72384,953
72386,1777
72389,204
72390,9107
72392,481
72394,625
72395,1017
72396,13734
72401,53767
72404,23482
72410,498
72411,2294
72412,633
72413,598
72414,443
72415,1346
72416,5783
72417,3568
72419,1748
72421,554
72422,4979
72424,94
72425,446
72426,196
72427,174
72428,95
72429,427
72430,411
72431,401
72432,6462
72433,3067
72434,2108
72435,505
72436,942
72437,3272
72438,2574
72440,255
72441,94
72442,4886
72443,2986
72444,1821
72445,91
72447,1964
72449,213
72450,36033
72453,198
72454,5127
72455,12518
72456,585
72457,132
72458,755
72459,1329
72460,832
72461,3789
72462,408
72464,98
72466,1481
72467,303
72469,1124
72470,319
72471,1108
72472,9447
72473,2376
72476,7155
72478,390
72479,1489
72482,1241
72501,25099
72512,2234
72513,2856
72515,63
72517,487
72519,3150
72520,309
72521,4814
72522,405
72523,1091
72524,376
72526,154
72527,583
72528,65
72529,4726
72530,1987
72531,800
72532,1712
72533,416
72534,1320
72536,429
72537,805
72538,432
72539,253
72540,149
72542,3826
72543,12535
72544,636
72546,181
72550,985
72553,69
72554,2923
72555,182
72556,3375
72560,8754
72561,981
72562,2238
72564,546
72565,999
72566,624
72567,262
72568,1662
72569,468
72571,369
72572,228
72573,278
72576,3868
72577,700
72578,212
72579,1287
72581,1030
72583,1679
72584,568
72585,216
72587,134
72601,30163
72611,1696
72616,10441
72617,198
72619,1936
72623,648
72624,594
72626,1243
72628,803
72629,629
72630,197
72631,3709
72632,4449
72633,1833
72634,4670
72635,3624
72636,24
72638,7186
72639,683
72640,385
72641,2585
72642,1979
72644,2268
72645,1867
72648,716
72650,4362
72651,1206
72653,28560
72655,457
72658,1685
72660,524
72661,580
72662,2986
72663,361
72666,275
72668,521
72669,107
72670,99
72672,279
72675,1399
72677,525
72679,48
72680,807
72682,194
72683,211
72685,1365
72686,182
72687,6461
72701,39782
72703,28261
72704,21336
72712,40933
72714,11880
72715,15051
72717,1071
72718,1465
72719,8975
72721,391
72722,3138
72727,5658
72729,280
72730,7585
72732,4716
72734,7322
72736,6208
72738,2419
72739,473
72740,9543
72742,545
72744,5343
72745,11376
72747,152
72749,84
72751,6434
72752,293
72753,7936
72756,38455
72758,33487
72760,342
72761,21211
72762,35342
72764,50230
72768,1306
72769,1162
72773,953
72774,6121
72776,574
72801,18685
72802,20973
72821,2048
72823,6765
72824,1876
72826,47
72827,187
72828,114
72830,14896
72832,923
72833,4384
72834,10565
72835,923
72837,7845
72838,115
72839,242
72840,2149
72841,227
72842,1478
72843,2274
72845,1216
72846,3913
72847,2850
72851,572
72852,315
72853,2217
72854,703
72855,6314
72856,464
72857,1430
72858,3178
72860,375
72863,1582
72865,1366
72901,21591
72903,26148
72904,21893
72908,13378
72916,7131
72921,13787
72923,4735
72926,545
72927,8701
72928,755
72930,320
72932,1597
72933,4999
72934,1047
72935,577
72936,14527
72937,3858
72938,1391
72940,2515
72941,5251
72943,2646
72944,2919
72945,314
72946,3654
72947,4433
72948,518
72949,10177
72950,409
72951,988
72952,2945
72955,438
72956,34074
72958,8117
72959,2786
