GEOID,POP10
22003,55990
22015,43102
22025,17379
22026,14258
22027,2362
22030,55066
22031,29795
22032,29377
22033,37691
22035,0
22039,18364
22041,27989
22042,33537
22043,24302
22044,14092
22046,16235
22060,8878
22066,18099
22079,32059
22101,29887
22102,21985
22124,17558
22125,711
22134,6862
22150,27105
22151,17456
22152,28550
22153,31285
22172,8699
22180,23491
22181,14879
22182,24863
22185,0
22191,57598
22192,53394
22193,73047
22201,33476
22202,22543
22203,21850
22204,47233
22205,17087
22206,19051
22207,30920
22209,12314
22211,648
22213,2936
22214,0
22301,11162
22302,16485
22303,12601
22304,44300
22305,15440
22306,32326
22307,9581
22308,12737
22309,33220
22310,29609
22311,17560
22312,30614
22314,29653
22315,26202
22401,24286
22405,29152
22406,20757
22407,54962
22408,26851
22427,3286
22432,394
22433,232
22435,2439
22436,746
22437,725
22438,463
22443,8083
22448,599
22454,1796
22460,1876
22469,1921
22473,5099
22476,369
22480,714
22482,2993
22485,23004
22488,1398
22503,4334
22504,263
22508,12696
22509,31
22511,1240
22514,2603
22520,5402
22529,335
22530,126
22534,2796
22535,580
22538,307
22539,2063
22542,1950
22546,15850
22548,73
22551,19242
22553,13935
22554,51463
22556,25675
22560,6704
22567,3163
22572,7470
22576,1785
22578,2510
22579,155
22580,5160
22601,27813
22602,28443
22603,13910
22610,1842
22611,8757
22620,2348
22623,670
22624,2565
22625,3641
22627,637
22630,30292
22637,1970
22639,560
22640,532
22641,361
22642,4414
22643,197
22644,2177
22645,3880
22646,205
22650,978
22652,1399
22654,640
22655,19328
22656,2381
22657,10956
22660,1689
22663,1536
22664,8753
22701,31444
22709,874
22711,92
22712,8415
22713,1406
22714,1129
22715,1082
22716,853
22718,534
22719,395
22720,1059
22722,273
22723,128
22724,2282
22726,776
22727,5547
22728,3310
22729,1338
22730,115
22731,139
22732,191
22733,1469
22734,3187
22735,2277
22736,732
22737,2936
22738,1149
22740,1313
22741,182
22742,1926
22743,204
22747,1132
22749,349
22801,37989
22802,26293
22807,3311
22810,863
22811,500
22812,8927
22815,8355
22820,214
22821,5753
22824,6018
22827,10388
22830,1773
22831,813
22832,1091
22834,1250
22835,11634
22840,4354
22841,2791
22842,5063
22843,2458
22844,4528
22845,33
22846,1855
22847,1066
22849,5044
22850,899
22851,5956
22853,4367
22901,32532
22902,21223
22903,38229
22904,4633
22911,15971
22920,4186
22922,1993
22923,5035
22931,382
22932,7488
22935,926
22936,4853
22937,1486
22938,1444
22939,5398
22940,1119
22942,8113
22943,444
22946,244
22947,4198
22948,305
22949,1300
22952,2029
22958,1637
22959,1578
22960,10722
22963,15401
22964,261
22967,1956
22968,9815
22969,1437
22971,1735
22972,439
22973,6191
22974,5385
22976,339
22980,31451
22989,112
