GEOID,POP10
63005,17753
63010,35439
63011,36347
63012,9973
63013,1589
63014,779
63015,2076
63016,7582
63017,41470
63019,4449
63020,20714
63021,56261
63023,5831
63025,13854
63026,44124
63028,26413
63030,407
63031,48212
63033,43000
63034,17761
63036,1064
63037,3241
63038,6914
63039,726
63040,8512
63041,534
63042,19602
63043,22367
63044,10568
63045,3
63047,31
63048,3357
63049,15896
63050,15716
63051,14495
63052,26431
63053,62
63055,2449
63056,2002
63057,56
63060,2461
63061,95
63068,4909
63069,15647
63070,7438
63071,1103
63072,3194
63073,301
63074,15164
63077,11798
63079,58
63080,13987
63084,17414
63087,769
63088,8269
63089,5965
63090,21524
63091,1264
63101,2620
63102,2316
63103,6900
63104,18656
63105,17667
63106,11883
63107,11912
63108,21568
63109,26946
63110,17107
63111,20313
63112,20368
63113,13167
63114,36201
63115,20775
63116,43540
63117,9163
63118,26704
63119,33969
63120,10296
63121,26602
63122,38495
63123,49308
63124,10417
63125,32201
63126,15112
63127,4939
63128,29356
63129,52718
63130,30084
63131,16769
63132,13988
63133,8161
63134,13638
63135,21334
63136,48560
63137,20654
63138,20175
63139,22789
63140,294
63141,20593
63143,9678
63144,8825
63146,29262
63147,11373
63155,0
63301,48514
63303,45834
63304,40336
63330,125
63332,1292
63333,783
63334,8569
63336,1146
63339,1145
63341,3530
63343,4546
63344,1663
63345,393
63347,3078
63348,6059
63349,1934
63350,562
63351,1768
63352,1078
63353,4593
63357,5534
63359,1296
63361,4525
63362,6350
63363,1719
63366,46175
63367,19433
63368,43360
63369,2258
63370,33
63373,603
63376,70828
63377,2462
63379,23348
63381,532
63382,4897
63383,15770
63384,1955
63385,35750
63386,538
63387,73
63388,710
63389,6336
63390,9760
63401,22067
63430,639
63431,334
63432,513
63433,68
63434,687
63435,4219
63436,1155
63437,1503
63438,466
63439,127
63440,1407
63441,1121
63443,440
63445,3911
63446,691
63447,1133
63448,1520
63450,132
63451,244
63452,1167
63453,519
63454,946
63456,4271
63457,337
63458,197
63459,4153
63460,328
63461,5876
63462,1458
63463,652
63464,21
63465,407
63467,75
63468,2644
63469,1194
63471,639
63472,587
63473,262
63474,479
63501,21532
63530,868
63531,532
63532,1322
63533,805
63534,804
63535,114
63536,851
63537,1916
63538,283
63539,206
63540,150
63541,409
63543,352
63544,818
63545,1111
63546,1715
63547,459
63548,1287
63549,2742
63551,338
63552,7926
63555,3201
63556,3779
63557,291
63558,742
63559,1420
63560,239
63561,1206
63563,575
63565,3805
63566,125
63567,192
63601,16656
63620,1619
63621,1228
63622,1011
63623,882
63624,3757
63625,457
63626,1037
63627,2937
63628,16014
63629,1314
63630,4062
63631,849
63633,645
63636,608
63637,1329
63638,2920
63640,26335
63645,11420
63648,1628
63650,4401
63653,1206
63654,706
63655,1523
63656,531
63660,4276
63662,1185
63663,723
63664,8920
63665,241
63666,93
63670,11295
63673,2115
63674,132
63675,144
63701,36812
63703,8182
63730,3430
63732,834
63735,847
63736,3310
63738,76
63739,464
63740,5339
63742,64
63743,122
63744,111
63745,66
63746,65
63747,469
63748,1015
63750,43
63751,1249
63755,24006
63758,170
63760,614
63763,223
63764,5984
63766,1288
63767,655
63769,1389
63770,192
63771,2862
63774,76
63775,16710
63780,6740
63781,1272
63782,274
63783,132
63784,279
63785,1000
63787,719
63801,23123
63820,226
63821,970
63822,2867
63823,1247
63824,164
63825,4409
63826,84
63827,829
63828,345
63829,1120
63830,7102
63833,242
63834,7135
63837,1653
63839,485
63841,13123
63845,5814
63846,1554
63847,64
63848,1592
63849,186
63851,4225
63852,1488
63853,244
63855,1117
63857,12956
63860,131
63862,1705
63863,6359
63866,488
63867,1019
63868,838
63869,3783
63870,1097
63873,4947
63874,350
63876,2374
63877,3931
63878,138
63879,773
63880,117
63882,431
63901,34665
63902,0
63932,1254
63933,3719
63934,201
63935,10158
63936,754
63937,2922
63939,1430
63940,1393
63941,371
63942,652
63943,915
63944,1844
63945,1163
63951,331
63952,408
63953,1635
63954,1219
63955,288
63956,1133
63957,5440
63960,3326
63961,1610
63962,41
63964,784
63965,2697
63966,2601
63967,1906
