GEOID,POP10,INTPTLAT,INTPTLONG
11001,26883,40.723317,-73.704949
11003,41356,40.699176,-73.70616600000001
11004,14016,40.746198,-73.711469
11005,1806,40.756578000000005,-73.714178
11010,23821,40.700587,-73.67501800000001
11020,5914,40.771442,-73.71481899999999
11021,17729,40.784319,-73.731488
11023,9027,40.7987,-73.73370200000001
11024,8002,40.81609,-73.741414
11030,17962,40.793409000000004,-73.688549
11040,40782,40.745346999999995,-73.68029200000001
11042,520,40.758538,-73.697224
11050,30171,40.839895,-73.693128
11096,8344,40.621346,-73.75699
11101,25484,40.74713,-73.939736
11102,34133,40.772884000000005,-73.926295
11103,38780,40.762574,-73.91344699999999
11104,27232,40.744617,-73.920214
11105,36688,40.778877,-73.906769
11106,38875,40.762211,-73.931528
11109,3523,40.745115000000006,-73.956928
11201,51128,40.693682,-73.989693
11203,76174,40.649591,-73.934371
11204,78134,40.618778999999996,-73.984826
11205,40366,40.694697999999995,-73.966301
11206,81677,40.701954,-73.942358
11207,93386,40.670747,-73.894209
11208,94469,40.669689,-73.871371
11209,68853,40.621982,-74.030323
11210,62008,40.628147,-73.946324
11211,90117,40.712596999999995,-73.953098
11212,84500,40.662936,-73.91302900000001
11213,63767,40.671078,-73.936336
11214,88630,40.599148,-73.99609
11215,63488,40.662688,-73.98674
11216,54316,40.680768,-73.94931600000001
11217,35881,40.682306,-73.978099
11218,75220,40.643476,-73.976043
11219,92221,40.632667,-73.996669
11220,99598,40.641221,-74.016863
11221,78895,40.691340000000004,-73.927879
11222,36934,40.72779,-73.94760500000001
11223,78731,40.597139,-73.973428
11224,47621,40.577372,-73.98870600000001
11225,56829,40.663046,-73.954219
11226,101572,40.646448,-73.956649
11228,41788,40.616695,-74.013047
11229,80018,40.601293,-73.94449300000001
11230,86408,40.622164,-73.96510500000001
11231,33336,40.677915999999996,-74.005154
11232,28265,40.656527000000004,-74.00733100000001
11233,67053,40.678308,-73.91993599999999
11234,87757,40.60508,-73.911721
11235,79132,40.583949,-73.949096
11236,93877,40.639413,-73.900664
11237,49896,40.704159999999995,-73.921139
11238,49262,40.679171000000004,-73.96380400000001
11239,13393,40.647735,-73.87947700000001
11351,0,40.780747,-73.825301
11354,54878,40.768208,-73.827403
11355,85871,40.751475,-73.821031
11356,23438,40.78485,-73.841279
11357,39150,40.786394,-73.810862
11358,37546,40.760471,-73.796371
11359,0,40.791786,-73.77686700000001
11360,18884,40.780294,-73.78120600000001
11361,28606,40.764191,-73.772775
11362,17823,40.756574,-73.737845
11363,6988,40.772616,-73.746526
11364,34555,40.745296,-73.760607
