GEOID,POP10,INTPTLAT,INTPTLONG
69001,9449,40.246709,-100.64394200000001
69020,397,40.197245,-100.300903
69021,1348,40.14161,-101.54034300000001
69022,1570,40.360199,-100.189357
69023,440,40.482983000000004,-101.90732
69024,1195,40.232726,-100.84705100000001
69025,1220,40.620868,-100.50948000000001
69026,220,40.046771,-100.429674
69027,133,40.427279999999996,-101.54424300000001
69028,731,40.639148,-100.057395
69029,316,40.708969,-100.252969
69030,324,40.211719,-101.919863
69032,498,40.570659,-101.014404
69033,2577,40.559381,-101.67600999999999
69034,908,40.250914,-100.433897
69036,126,40.048682,-100.27435
69037,115,40.184984,-101.405741
69038,449,40.589874,-100.748476
69039,139,40.692107,-100.391408
69040,634,40.350305999999996,-101.125171
69041,161,40.171238,-101.743643
69042,36,40.476668,-100.405251
69043,549,40.128710999999996,-101.255201
69044,825,40.130145,-101.016489
69045,975,40.465392,-101.369178
69046,194,40.076407,-100.086526
69101,29904,41.141895,-100.800597
69120,931,41.397011,-100.218112
69121,400,41.55743,-101.696401
69122,619,41.131252,-102.102414
69123,935,41.011466,-100.37181700000001
69125,346,41.626490000000004,-102.824548
69127,739,41.141045,-101.92909399999999
69128,302,41.22667,-103.92881899999999
69129,1368,41.113295,-102.409026
69130,5307,40.894116,-99.952965
69131,561,41.407395,-102.973516
69132,117,40.793401,-100.957871
69133,386,41.188423,-103.460347
69134,364,40.835298,-101.376254
69135,65,42.22783,-100.206025
69138,4489,40.995816,-100.176551
69140,1775,40.850303000000004,-101.773477
69141,385,41.306523,-102.955003
69142,137,41.91818,-100.320427
69143,1460,41.211518,-101.042025
69144,202,41.272158000000005,-101.537461
69145,3214,41.246021999999996,-103.66769599999999
69146,334,41.312560999999995,-101.77342900000001
69147,737,41.579126,-102.086642
69148,217,41.590371999999995,-102.598259
69149,699,41.221745,-102.67714699999999
69150,522,40.8477,-101.543056
69151,815,41.090203,-100.49525200000001
69152,886,42.124962,-101.146814
69153,5769,41.101361,-101.675692
69154,1291,41.430572,-102.351775
69155,1034,41.189372999999996,-101.39615400000001
69156,699,41.310781,-103.331902
69157,21,42.060157000000004,-100.144245
69161,81,42.156506,-100.781305
69162,7765,41.128859999999996,-103.020689
69163,873,41.569639,-100.54164200000001
69165,1789,41.269715999999995,-101.209874
69166,600,42.028175,-100.60855600000001
69167,441,41.596232,-101.00603100000001
69168,271,40.798996,-101.98652299999999
69169,651,40.821942,-101.160866
69170,372,40.796027,-100.74430600000001
69171,26,40.890044,-100.070711
69201,4005,42.723626,-100.59639200000001
69210,2484,42.34939,-99.923176
69211,311,42.832233,-101.303366
69212,248,42.93293,-100.801436
69214,203,42.598549,-100.099662
69216,232,42.97781,-100.983593
69217,533,42.565207,-99.66699200000001
69218,260,42.789248,-101.674835
69219,80,42.600609000000006,-101.192427
69220,59,42.865604,-100.13035699999999
69221,222,42.582491999999995,-100.300943
69301,10125,42.122965,-102.88128
69331,59,41.913434,-102.98262700000001
69333,239,42.056214000000004,-101.97438199999999
69334,2351,41.821808000000004,-103.29016
69335,53,42.073797,-102.10530899999999
69336,2466,41.628527000000005,-103.167371
69337,7365,42.827175,-103.012899
69339,1462,42.60693,-103.413648
69340,121,42.21487,-102.207861
69341,11165,41.720755,-103.633028
69343,2538,42.705504,-102.024422
69345,455,41.589582,-103.744617
69346,592,42.671533000000004,-103.78254100000001
69347,1249,42.60682,-102.68472299999999
69348,1503,42.275532,-103.350427
69350,383,41.96242,-101.763242
69351,235,42.038757000000004,-102.420461
69352,619,41.803986,-103.973548
69353,37,41.747228,-103.41650899999999
69354,97,42.369194,-103.603633
69355,115,41.783287,-103.50620500000001
69356,1882,41.901589,-103.45094
69357,3567,42.110496000000005,-103.768458
69358,1907,42.065333,-103.968435
69360,1361,42.696594,-102.467141
69361,17999,41.922838,-103.622904
69365,44,42.984091,-102.50058299999999
69366,253,42.159428000000005,-101.54977
69367,259,42.811821,-103.330405
