GEOID,POP10,INTPTLAT,INTPTLONG
62001,1752,38.881403000000006,-89.745001
62002,32704,38.939532,-90.124504
62006,648,39.053053999999996,-90.669715
62009,1810,39.091549,-89.798118
62010,11186,38.921116999999995,-90.045305
62011,284,39.126511,-89.216001
62012,6654,39.044748999999996,-90.1482
62013,552,38.956413,-90.573646
62014,4122,39.043376,-89.951132
62015,487,39.221451,-89.544038
62016,3816,39.295025,-90.43176700000001
62017,1185,39.065099,-89.368619
62018,3604,38.907779,-90.08131999999999
62019,490,39.017263,-89.442402
62021,936,38.984867,-89.971728
62022,1138,39.003161999999996,-90.326185
62023,91,39.112293,-89.787059
62024,9775,38.875659000000006,-90.073363
62025,33748,38.831390999999996,-89.932326
62027,536,39.249602,-90.562735
62028,1276,38.95823,-90.354956
62030,114,39.154621,-90.164239
62031,970,39.111496,-90.53693
62032,749,39.115639,-89.288514
62033,4894,39.136567,-89.839885
62034,13819,38.754871,-89.972284
62035,16494,38.964906,-90.240063
62036,704,38.918310999999996,-90.589735
62037,1993,39.010404,-90.465642
62040,43735,38.725838,-90.111791
62044,2009,39.363052,-90.22155
62045,647,39.264194,-90.690137
62046,713,38.889834,-89.846171
62047,1555,39.122744,-90.626199
62048,1459,38.801357,-90.091714
62049,8470,39.131717,-89.481382
62050,473,39.440017,-90.54472
62051,950,39.20165,-89.403275
62052,13002,39.110571,-90.321217
62053,650,39.319254,-90.66542
62054,872,39.204343,-90.339427
62056,8930,39.179457,-89.67197
62058,843,38.971118,-89.769571
62059,746,38.656488,-90.16504599999999
62060,4847,38.681906,-90.142429
62061,1718,38.789567,-89.779093
62062,7658,38.725931,-89.961315
62063,1214,39.198421999999994,-90.149764
62065,97,39.22609,-90.632707
62067,2401,38.929602,-89.98205300000001
62069,3313,39.089106,-89.739298
62070,37,39.296898,-90.732493
62074,1087,38.955,-89.68974200000001
62075,3458,39.302262,-89.296245
62076,135,39.343371999999995,-89.21913599999999
62077,347,39.029185,-89.522448
62078,119,39.478629999999995,-90.486079
62079,256,39.110499,-90.143849
62080,2508,39.137908,-89.10422
62081,298,39.264927,-90.225
62082,3109,39.489989,-90.31750799999999
62083,295,39.354451,-89.201432
62084,1606,38.838368,-90.063668
62085,209,39.081894,-89.8045
62086,1437,38.980771000000004,-89.579837
62087,2087,38.817014,-90.065488
62088,6960,39.01243,-89.799816
62089,489,39.129585,-89.495141
62090,1189,38.670356,-90.16963
62091,337,39.056246,-89.610567
62092,2979,39.418572,-90.431226
62093,435,39.066361,-89.853922
62094,1152,39.245549,-89.34987
62095,11237,38.861343,-90.069002
62097,2828,38.936656,-89.852627
62098,91,39.386098,-90.304622
62201,7547,38.644405,-90.140016
62203,8209,38.599955,-90.077337
62204,7960,38.633745000000005,-90.090166
62205,9329,38.609757,-90.122803
62206,16509,38.572342,-90.166652
62207,8750,38.582466,-90.12324699999999
62208,17376,38.595079,-90.005138
62214,1229,38.376408000000005,-89.603629
62215,1872,38.508311,-89.608827
62216,2526,38.618617,-89.601788
62217,807,38.175668,-89.853507
62218,1481,38.522191,-89.473788
62219,1009,38.605786,-89.431899
62220,20504,38.478277,-89.998032
62221,27858,38.512111,-89.905289
62223,17560,38.535957,-90.059457
62225,5381,38.542964000000005,-89.852114
62226,29744,38.535123999999996,-89.999588
62230,6194,38.635081,-89.531014
62231,7589,38.612258000000004,-89.319337
62232,7260,38.6315,-89.999928
62233,10037,37.942252,-89.788551
62234,33430,38.683215000000004,-89.982058
62236,12562,38.436908,-90.216606
62237,2659,38.186721,-89.56846999999999
62238,696,38.038556,-89.532296
62239,4954,38.535176,-90.16147099999999
62240,1966,38.501857,-90.17655699999999
62241,1061,38.011291,-89.89367299999999
62242,1526,38.098153,-89.946871
62243,5910,38.420128999999996,-89.889488
62244,1156,38.195693,-90.198775
62245,1794,38.545339,-89.562816
62246,10355,38.890364,-89.427497
62248,320,38.303038,-89.9964
62249,15971,38.754556,-89.667278
62250,504,38.540795,-89.26611
62253,696,38.777731,-89.30008199999999
62254,6089,38.609041999999995,-89.82324799999999
62255,1001,38.313204,-89.783121
62257,3214,38.284874,-89.728709
62258,9199,38.460896999999996,-89.782081
62260,7290,38.460653,-90.1007
62261,152,37.997578999999995,-90.000394
62262,1810,38.940678000000005,-89.282715
62263,5387,38.326439,-89.410588
62264,3338,38.318803,-89.903533
62265,4353,38.499764,-89.673407
