GEOID,POP10,INTPTLAT,INTPTLONG
35004,10427,33.603417,-86.49379499999999
35005,7942,33.59595,-87.000649
35006,3121,33.422765000000005,-87.20973000000001
35007,26225,33.215501,-86.797578
35010,20816,32.916507,-85.940602
35013,124,33.902167999999996,-86.517777
35014,4546,33.355635,-86.262233
35016,16778,34.32387,-86.50200600000001
35019,2117,34.302078,-86.63409399999999
35020,27139,33.402429,-86.951784
35022,18888,33.322849,-86.971458
35023,25436,33.467902,-87.088306
35031,7933,34.097791,-86.554899
35032,66,33.264859,-86.336417
35033,3403,33.926475,-87.031801
35034,5541,32.911122,-87.271681
35035,1581,33.043787,-86.973505
35036,297,33.643921999999996,-86.919599
35040,14965,33.102967,-86.728894
35042,5831,32.957991,-87.10381600000001
35043,9234,33.314203000000006,-86.659205
35044,7713,33.243708000000005,-86.380748
35045,14870,32.799962,-86.676761
35046,5108,32.931141,-86.534157
35049,3996,33.961807,-86.612064
35051,8787,33.205032,-86.618915
35052,277,33.590682,-86.409897
35053,2617,34.051415999999996,-87.073134
35054,4101,33.501987,-86.33795699999999
35055,19427,34.151183,-86.758714
35057,12630,34.180462,-86.93425699999999
35058,9936,34.228856,-86.737261
35060,414,33.55775,-86.95172600000001
35061,1465,33.471804,-86.95602199999999
35062,7944,33.724920000000004,-87.01025200000001
35063,3866,33.82055,-87.025862
35064,11458,33.476071999999995,-86.920253
35068,7232,33.607519,-86.831073
35070,265,34.012545,-86.754203
35071,15661,33.695005,-86.848101
35072,5193,33.095425,-86.064464
35073,2382,33.651226,-86.98683100000001
35074,93,33.222349,-87.12427
35077,13142,34.021165,-86.832668
35078,2082,33.324276,-86.444487
35079,8810,33.938066,-86.749708
35080,15881,33.262518,-86.91393599999999
35082,7,33.157893,-86.15339399999999
35083,3268,34.199871,-86.59917
35085,8933,32.978121,-86.734189
35087,2115,34.306453000000005,-86.584296
35089,2238,32.945782,-86.08183199999999
35091,2719,33.779236,-86.78955400000001
35094,14212,33.530066,-86.553303
35096,7815,33.620753,-86.107917
35097,1748,33.89223,-86.62712900000001
