GEOID,POP10,INTPTLAT,INTPTLONG
43001,2400,40.088073,-82.613984
43002,2262,40.062362,-83.170873
43003,2917,40.412257000000004,-82.979342
43004,22727,40.017344,-82.79878599999999
43005,174,40.286152,-82.276823
43006,822,40.459722,-82.149286
43008,2479,39.933890000000005,-82.48091099999999
43009,2135,40.171539,-83.639488
43010,272,39.999963,-83.62259300000001
43011,7491,40.302997,-82.679662
43013,1201,40.233121000000004,-82.688323
43014,3632,40.466759,-82.262514
43015,48107,40.297786,-83.060181
43016,31306,40.09746,-83.150103
43017,37626,40.116621,-83.1305
43019,8700,40.492940000000004,-82.578515
43021,10301,40.191554,-82.882787
43022,4161,40.345039,-82.339811
43023,13231,40.078895,-82.536394
43025,5306,39.970889,-82.51737299999999
43026,54017,40.02085,-83.194413
43028,7537,40.401711999999996,-82.29726600000001
43029,664,40.097477000000005,-83.44064200000001
43030,114,39.961458,-82.415819
43031,12318,40.160841999999995,-82.665157
43032,77,40.328624,-82.958823
43033,380,39.961408,-82.60432800000001
43035,24721,40.188543,-82.995118
43036,258,40.352201,-83.261098
43037,535,40.284469,-82.32344300000001
43040,31790,40.261002000000005,-83.359687
43044,5528,40.054708000000005,-83.55041899999999
43045,1953,40.168381,-83.458675
43046,3396,39.896382,-82.541954
43050,29050,40.374153,-82.495551
43054,20566,40.083073,-82.798908
43055,59605,40.119896999999995,-82.37778399999999
43056,17439,40.008493,-82.34098900000001
43060,2480,40.222353000000005,-83.57154200000001
43061,3967,40.289506,-83.203052
43062,27644,40.007079,-82.68226800000001
43064,12580,40.098119,-83.28376300000001
43065,38821,40.17754,-83.094187
43066,1328,40.391290000000005,-83.17196899999999
43067,1591,40.340478999999995,-83.468202
43068,51836,39.956185,-82.784665
43070,133,40.215778,-83.957945
43071,2351,40.180695,-82.359463
43072,5948,40.119673999999996,-83.956704
43074,11655,40.270014,-82.850669
43076,9051,39.897003999999995,-82.39875
43077,258,40.13705,-83.341267
43078,20885,40.117639000000004,-83.78379
43080,5498,40.240586,-82.429738
43081,55991,40.110443,-82.89064599999999
43082,29946,40.149184999999996,-82.884874
43084,841,40.148352,-83.556715
43085,23258,40.100924,-83.013402
43101,380,39.464519,-82.74613000000001
43102,4512,39.640398,-82.762562
43103,10697,39.732375,-82.935709
43105,8147,39.86676,-82.612369
43106,1685,39.642317999999996,-83.42117900000001
43107,3153,39.692825,-82.414529
43109,118,39.916675,-82.831944
43110,33847,39.826682,-82.800074
43111,225,39.502072999999996,-82.242722
43112,4617,39.797808,-82.70461999999999
43113,23717,39.592553,-82.963776
43115,1321,39.491771,-83.150971
43116,1448,39.771637,-83.062012
43117,73,39.768789,-83.206122
43119,27698,39.940928,-83.20571899999999
43123,58424,39.869489,-83.114347
43125,12161,39.838052000000005,-82.887941
43126,326,39.815503,-83.16576500000001
43127,283,39.480596999999996,-82.321987
43128,2309,39.659721999999995,-83.594024
43130,59570,39.696616,-82.614164
43135,4445,39.468184,-82.69341999999999
43136,460,39.801317,-82.812481
43137,2388,39.808840000000004,-82.987481
43138,18437,39.518347999999996,-82.41409
43140,24066,39.879858,-83.429006
43142,111,39.593715,-83.587259
43143,5694,39.712707,-83.28834599999999
43144,477,39.528775,-82.19395899999999
43145,1918,39.564941999999995,-83.259784
43146,12369,39.773521,-83.136925
43147,38440,39.897778,-82.74401999999999
43148,2220,39.820316,-82.499992
43149,2552,39.542972,-82.577874
43150,2482,39.777495,-82.40616999999999
43151,322,39.732952000000004,-83.476424
43152,921,39.395447999999995,-82.615799
43153,971,39.743695,-83.556821
43154,3150,39.599871,-82.829414
43155,2543,39.634640999999995,-82.52890500000001
43156,242,39.55352,-82.77629499999999
43157,610,39.842653000000006,-82.54620600000001
43158,268,39.449001,-82.357566
43160,22305,39.526516,-83.441323
43162,6926,39.949397999999995,-83.30839399999999
43164,2203,39.585238000000004,-83.11839599999999
43201,35495,39.990829999999995,-82.999946
43202,20251,40.019812,-83.0151
43203,8108,39.973084,-82.969026
43204,42104,39.961292,-83.081964
43205,12272,39.957019,-82.962071
43206,21864,39.942452,-82.974175
43207,45144,39.894679,-82.96283199999999
43209,27228,39.953616,-82.93072099999999
43210,9432,40.005435,-83.023227
43211,21600,40.011814,-82.97053199999999
43212,18551,39.987145,-83.042824
43213,30444,39.966873,-82.862134
43214,24650,40.051734,-83.016269
43215,12790,39.966856,-83.01295999999999
43217,2602,39.81642,-82.92277
43219,27123,40.006192999999996,-82.921346
43220,24989,40.049153000000004,-83.074244
43221,31265,40.023112,-83.076127
43222,4617,39.961192,-83.035484
43223,27366,39.927633,-83.033424
43224,38699,40.04266,-82.96485600000001
43227,21340,39.944059,-82.890437
43228,50737,39.966378000000006,-83.125661
43229,46347,40.08587,-82.97819799999999
43230,51161,40.035763,-82.870875
43231,19685,40.079333,-82.934777
43232,42201,39.921124,-82.870182
43235,38493,40.118363,-83.027626
43240,3469,40.144858,-82.982863
43302,54790,40.599809,-83.12880799999999
43310,3104,40.535325,-83.78644200000001
43311,19240,40.365633,-83.75643199999999
43314,3173,40.649148,-82.959411
43315,7046,40.483968,-82.874359
43316,6041,40.954177,-83.380698
43317,168,40.474727,-82.680654
43318,3864,40.306812,-83.91264
43319,1040,40.302682,-83.57512
43320,1588,40.588536,-82.898039
43321,267,40.457343,-82.82978299999999
43322,374,40.532181,-83.20784
43323,680,40.729183,-83.247809
43324,2817,40.444533,-83.813789
43326,13611,40.639365000000005,-83.614912
43330,118,40.813493,-83.41940799999999
43331,4485,40.517943,-83.921643
43332,2323,40.590903000000004,-83.371544
43333,894,40.443022,-83.924616
43334,6651,40.399755,-82.798877
43336,39,40.290833,-83.582332
43337,1108,40.681312,-83.266637
43338,10489,40.564167,-82.760333
43340,1721,40.543906,-83.475995
43341,907,40.596568,-83.315294
43342,3228,40.471236,-83.18398
43343,1505,40.309159,-83.978712
43344,5677,40.430934,-83.344615
43345,920,40.5112,-83.58382399999999
43347,1530,40.477854,-83.65958
43348,1984,40.462671,-83.88913199999999
43351,10436,40.82548,-83.303252
43356,1103,40.465076,-83.032615
43357,4763,40.253578999999995,-83.746806
43358,2521,40.414555,-83.537653
43359,819,40.873492999999996,-83.45488
43360,1593,40.33314,-83.64352199999999
43402,31327,41.417547,-83.656646
43403,5004,41.376979,-83.637118
43406,1777,41.333897,-83.433071
43407,639,41.277832000000004,-83.24940699999999
43408,269,41.571832,-83.363462
43410,10403,41.31187,-82.957585
43412,4362,41.627632,-83.32035
43413,1407,41.243221999999996,-83.65159
43416,2891,41.483937,-83.267229
43420,30579,41.358062,-83.110264
43430,4783,41.522208,-83.370037
43431,4752,41.390755,-83.335312
43432,1366,41.563259,-83.252471
43433,95,41.504694,-82.880261
43434,101,41.693022,-83.444689
43435,1532,41.325312,-83.31285799999999
43437,427,41.253686,-83.60230899999999
43438,312,41.602607,-82.706506
43439,113,41.517665,-83.041286
43440,4875,41.526266,-82.776839
43442,999,41.426171999999994,-83.216448
43443,1834,41.461331,-83.470237
43445,1161,41.583459000000005,-83.296408
43446,25,41.683506,-82.808714
43447,3450,41.562886,-83.445582
43449,8278,41.534376,-83.13557
43450,3619,41.400871,-83.491254
