GEOID,POP10,INTPTLAT,INTPTLONG
36003,1975,32.451985,-86.72368900000001
36005,1522,31.888214,-85.7196
36006,1313,32.642055,-86.722635
36009,2566,31.594781,-86.301377
36010,4677,31.663655,-85.797803
36013,562,32.284669,-85.985235
36016,5150,31.850223,-85.41470600000001
36017,3318,31.679443,-85.55771999999999
36020,1123,32.479374,-86.322997
36022,13092,32.623499,-86.405578
36024,5428,32.671797999999995,-86.025021
36025,5729,32.544042,-86.324972
36026,1089,32.77548,-86.130993
36027,16261,32.060643,-85.116624
36028,1746,31.49547,-86.392802
36029,723,32.181872,-85.933154
36030,491,31.870914000000003,-86.87621999999999
36031,156,32.24712,-85.737437
36032,2339,31.994629999999997,-86.568637
36033,4299,31.671714,-86.770613
36034,807,31.621045000000002,-86.111209
36035,1913,31.788705,-86.126215
36036,2003,31.973940000000002,-86.161676
36037,14074,31.799009,-86.628615
36038,57,31.435078000000004,-86.491253
36039,253,32.298947999999996,-85.83756
36040,3976,32.173924,-86.684172
36041,1318,31.9138,-86.319978
36042,1500,31.868619,-86.45998900000001
36043,3666,32.201153000000005,-86.42074699999999
36046,1490,32.022765,-86.336448
36047,1396,32.075247,-86.517854
36048,1459,31.804471000000003,-85.59226
36049,5706,31.768143,-86.27725699999999
36051,2304,32.685457,-86.50001999999999
36052,739,32.184093,-86.04828499999999
36053,1967,32.02924,-85.44357099999999
36054,15066,32.481879,-86.366311
36064,6753,32.296634999999995,-86.077885
36066,19089,32.479684000000006,-86.424001
36067,26954,32.509378999999996,-86.564904
36069,1935,32.094138,-86.149865
36071,766,31.706684999999997,-86.397754
36075,2226,32.378389,-85.9237
36078,13179,32.538247,-85.93410300000001
36079,9339,31.764156,-86.003013
36080,2271,32.701863,-86.281358
36081,15267,31.903745,-85.898152
36082,1667,31.802761,-85.954635
36083,9563,32.385764,-85.682934
36088,4767,32.415281,-85.720314
36089,8760,32.152306,-85.697807
36091,3648,32.750446999999994,-86.508548
36092,20274,32.617007,-86.201587
36093,9456,32.494564000000004,-86.133634
36104,9468,32.39882,-86.326502
36105,12043,32.209701,-86.288698
36106,15211,32.35282,-86.25758499999999
36107,9589,32.383689000000004,-86.279303
36108,21306,32.3391,-86.401107
36109,24777,32.388957,-86.242148
36110,12997,32.446582,-86.255772
36111,12176,32.336579,-86.27132399999999
36112,553,32.380826,-86.349141
36113,1902,32.38244,-86.363389
36115,623,32.406769,-86.246702
36116,43790,32.273588000000004,-86.214473
36117,50268,32.378728,-86.145011
36201,20156,33.649159999999995,-85.879642
36203,18799,33.583079999999995,-85.834626
36205,635,33.717379,-85.79481700000001
36206,11427,33.733284000000005,-85.809715
36207,19801,33.680005,-85.70911
36250,4603,33.765322,-85.901096
36251,5103,33.226535999999996,-85.86925
36255,969,33.168154,-85.73044
36256,1570,33.046308,-85.704818
36258,1599,33.477734000000005,-85.717338
36260,4247,33.582149,-85.99695799999999
36262,1448,33.791445,-85.475464
36263,658,33.466234,-85.35933
