GEOID,POP10,INTPTLAT,INTPTLONG
28001,26760,35.338578999999996,-80.208179
28006,1130,35.410410999999996,-81.09231899999999
28007,611,35.104593,-80.109909
28009,1121,35.409174,-80.108238
28012,20048,35.208087,-81.040035
28016,13463,35.315184,-81.283239
28017,695,35.247062,-81.670698
28018,5562,35.490775,-81.802678
28019,123,35.276711999999996,-81.787707
28020,2322,35.525046,-81.641414
28021,13612,35.400774,-81.403346
28023,14175,35.567714,-80.60225799999999
28025,49160,35.382677,-80.52346700000001
28027,55435,35.408065,-80.6822
28031,24390,35.473953,-80.89842800000001
28032,3105,35.233033,-81.079513
28033,2749,35.419270000000004,-81.328253
28034,16642,35.353664,-81.178943
28036,14654,35.480546999999994,-80.792539
28037,18287,35.509034,-81.020257
28039,116,35.678835,-80.437427
28040,7969,35.389195,-81.758135
28043,21055,35.30624,-81.872786
28052,34932,35.214656,-81.233227
28054,36270,35.262879,-81.149075
28056,31418,35.216936,-81.125003
28071,2802,35.517631,-80.316323
28072,1357,35.61407,-80.445205
28073,5621,35.198574,-81.48378100000001
28075,16143,35.302748,-80.639937
28076,722,35.259147,-81.788606
28077,482,35.404802000000004,-81.20277
28078,52133,35.405286,-80.86402
28079,31979,35.114709999999995,-80.60042299999999
28080,7299,35.453165000000006,-81.109643
28081,25190,35.502815999999996,-80.67017299999999
28083,23820,35.489602000000005,-80.580668
28086,25895,35.243945000000004,-81.37894200000001
28088,2862,35.544276,-80.614646
28089,248,35.318233,-81.65957399999999
28090,8342,35.454659,-81.559555
28091,2158,34.987392,-79.933002
28092,38570,35.486463,-81.253899
28097,5369,35.296715,-80.39305
28098,3579,35.271041,-81.098623
28101,698,35.257964,-81.077722
28102,78,34.818432,-79.97226500000001
28103,10311,34.998925,-80.351327
28104,28040,35.060868,-80.693292
28105,39586,35.115596999999994,-80.713708
28107,6422,35.25286,-80.51868
28108,54,34.934781,-80.68118299999999
28109,387,35.496966,-80.28853000000001
28110,50365,35.065318,-80.524866
28112,26311,34.889925,-80.549548
28114,7554,35.230441,-81.747702
28115,34339,35.584579999999995,-80.778871
28117,35454,35.565698,-80.898332
28119,2801,34.851078,-80.01698499999999
28120,19807,35.328651,-81.026393
28124,6622,35.399652,-80.408792
28125,2525,35.659025,-80.698613
28127,7594,35.468227,-80.18271899999999
28128,7476,35.210696,-80.154523
28129,5399,35.231662,-80.327162
28133,2878,34.844926,-80.265681
28134,9453,35.085402,-80.893095
28135,6123,35.029759999999996,-80.217276
28137,3120,35.563109000000004,-80.236391
28138,10495,35.515381,-80.43876
28139,20111,35.348363,-81.994737
28144,24734,35.706685,-80.464788
28146,27614,35.619299,-80.393298
28147,24697,35.681117,-80.562942
28150,28098,35.342703,-81.57624799999999
28152,24735,35.24272,-81.599412
28159,3108,35.694752,-80.431873
28160,3929,35.361024,-81.922321
28163,5233,35.207494,-80.428517
28164,14085,35.389444,-81.03713499999999
28166,8619,35.682790999999995,-80.87553100000001
28167,2362,35.508403,-81.96688499999999
28168,10230,35.55236,-81.425071
28169,173,35.358470000000004,-81.429395
28170,12355,34.998731,-80.098787
28173,45097,34.916154999999996,-80.731415
28174,8608,34.969035,-80.43958
28202,11195,35.227271,-80.84419399999999
28203,11315,35.208185,-80.859107
28204,4796,35.214620000000004,-80.827014
28205,43931,35.218790999999996,-80.789601
28206,11898,35.256127,-80.820999
28207,9280,35.194148,-80.824585
28208,34167,35.23043,-80.907493
28209,20317,35.178714,-80.853985
28210,42263,35.129915999999994,-80.856206
28211,28523,35.166342,-80.797285
28212,38457,35.187703000000006,-80.744556
28213,37309,35.286034,-80.73435500000001
28214,34721,35.275252,-80.968144
28215,53629,35.244979,-80.693471
28216,47208,35.31145,-80.88798100000001
28217,24204,35.168896000000004,-80.90828499999999
28226,37286,35.102697,-80.822129
28227,49635,35.189403999999996,-80.645488
28244,0,35.224605,-80.843094
28262,37547,35.322061,-80.739981
28269,71048,35.337313,-80.803472
28270,31525,35.112079,-80.764415
28273,31478,35.127365000000005,-80.946828
28277,59664,35.052875,-80.817552
28278,19283,35.133403,-81.009373
28280,10,35.226332,-80.843091
28282,0,35.224815,-80.845277
28301,17165,35.0748,-78.88425699999999
28303,30909,35.085957,-78.95952
28304,37147,35.025528,-78.989604
28305,6073,35.052609000000004,-78.90724399999999
28306,39683,34.958495,-78.89684799999999
28307,17631,35.138559,-78.981887
28308,405,35.171548,-79.01708199999999
28310,3459,35.163471,-79.037914
28311,34567,35.167782,-78.887753
28312,18538,34.947752,-78.73813299999999
28314,54520,35.052914,-79.029891
28315,11681,35.116884999999996,-79.43215699999999
28318,4627,35.019873,-78.613574
28320,9229,34.558122,-78.772715
28323,3182,35.314161999999996,-78.834901
28325,508,35.153921999999994,-78.104138
28326,17646,35.273826,-79.159382
28327,15433,35.354586,-79.416505
28328,27042,35.003498,-78.337924
28330,346,34.909597,-79.82198000000001
28332,482,34.659039,-78.737889
28333,11830,35.284310999999995,-78.01265500000001
28334,24908,35.272208,-78.568104
28337,10670,34.65705,-78.56156999999999
28338,4607,35.107707,-79.759691
28339,6751,35.31054,-78.732747
28340,10765,34.471354,-79.134422
28341,4257,35.120111,-78.174052
28342,298,35.191183,-78.651262
28343,1685,34.757362,-79.564875
28344,3415,35.1605,-78.624483
28345,12592,34.873551,-79.670637
28347,1983,35.058323,-79.600604
28348,33307,34.915262,-78.926748
28349,3724,34.981158,-77.927065
28350,305,35.243159000000006,-79.314018
28351,4759,34.84827,-79.563854
28352,25641,34.767332,-79.451076
28356,5018,35.235915999999996,-78.79104
28357,3125,34.901888,-79.082766
28358,38738,34.608106,-78.934474
28360,14263,34.670334000000004,-79.074938
28363,1202,34.957094,-79.546024
28364,14809,34.707179,-79.32345699999999
28365,17144,35.172565000000006,-78.052357
28366,5061,35.230268,-78.361985
28367,87,35.172701,-79.72515899999999
28369,2652,34.423373,-79.029416
28371,6519,34.903171,-78.97957
28372,14783,34.696873,-79.177622
28373,2150,35.091322999999996,-79.488461
28374,15990,35.197454,-79.462959
28375,102,34.475744,-79.03855300000001
28376,37991,34.992407,-79.242642
28377,12666,34.826879,-79.21324200000001
28379,26388,34.930279,-79.778633
28382,7056,34.971283,-78.517812
28383,8080,34.576974,-79.26269599999999
28384,12097,34.797090000000004,-78.960927
28385,3029,35.048806,-78.49126899999999
28386,6319,34.853619,-79.129616
28387,13921,35.179464,-79.376327
28390,19942,35.218734999999995,-78.958164
28391,5302,35.021629,-78.698798
28392,1579,34.734941,-78.800703
28393,2005,34.980876,-78.18968100000001
28394,5164,35.218967,-79.244848
28395,2375,35.139367,-78.740661
28396,2732,34.927252,-79.401588
28398,8112,34.995034999999994,-78.071712
28399,2140,34.784523,-78.709012
28401,22094,34.271985,-77.963628
28403,36063,34.221684,-77.88063299999999
28405,29152,34.263182,-77.86638
28409,31296,34.154846,-77.86267600000001
28411,31962,34.301944,-77.79276999999999
28412,35573,34.143755999999996,-77.928152
28420,3886,34.073706,-78.481116
28421,1521,34.505821999999995,-78.168375
28422,6641,34.018953,-78.173965
28423,2290,34.313913,-78.3889
28424,128,34.290290999999996,-78.699689
28425,10906,34.562207,-77.894389
28428,6033,34.046841,-77.90965899999999
28429,8026,34.341211,-77.900216
28430,1900,34.298389,-78.937388
28431,7102,34.314264,-78.83842
28432,1968,34.168118,-78.758679
28433,5050,34.488504999999996,-78.61667299999999
28434,1329,34.468325,-78.465485
28435,2490,34.40591,-78.10910799999999
28436,2203,34.275102000000004,-78.26721500000001
28438,1845,34.408974,-78.918311
28439,1595,34.286894000000004,-79.001225
28441,3198,34.804613,-78.4318
28442,1647,34.288447,-78.600598
28443,17512,34.445036,-77.675712
28444,2085,34.698827,-78.32202
28445,5676,34.483968,-77.556317
28447,1391,34.599052,-78.263349
28448,1243,34.491995,-78.317144
28449,1692,33.978811,-77.933743
28450,2438,34.324659999999994,-78.515299
28451,27112,34.230517,-78.089706
28452,694,33.992284000000005,-78.546504
28453,3829,34.886439,-78.076256
28454,2545,34.678126,-77.650871
28455,2117,34.111534000000006,-78.631633
28456,3658,34.37441,-78.287094
28457,9905,34.449597999999995,-77.886638
28458,6444,34.814772999999995,-78.09078199999999
28460,7652,34.542056,-77.418498
28461,16126,33.967234000000005,-78.05909100000001
28462,11680,34.026571000000004,-78.28959300000001
28463,9799,34.104765,-78.78238499999999
28464,2457,34.77664,-78.01732
28465,6531,33.912317,-78.102548
28466,10103,34.741253,-77.875651
28467,8703,33.919644,-78.593713
28468,4375,33.899623,-78.519137
28469,5839,33.926319,-78.467404
28470,10644,33.964096000000005,-78.403407
28472,19658,34.298565999999994,-78.689949
28478,4588,34.641461,-78.040878
28479,4903,34.100688,-78.016511
28480,2473,34.225734,-77.79733399999999
28501,20389,35.242923,-77.51665899999999
28504,21642,35.224563,-77.63486800000001
28508,2737,35.099668,-77.824788
28510,1502,34.987612,-76.804461
28511,694,34.901115999999995,-76.345763
28512,2896,34.712151,-76.79341600000001
28513,10346,35.441505,-77.388853
28515,2915,35.184067999999996,-76.699387
28516,11431,34.903303,-76.55048000000001
28518,7909,34.894822999999995,-77.747493
28519,404,35.119725,-77.026974
28520,327,34.991933,-76.323297
28521,2287,34.817902000000004,-77.736618
28523,2456,35.210915,-77.286014
28524,426,34.790935,-76.468562
28525,3132,35.125496000000005,-77.691316
28526,2489,35.270196999999996,-77.356588
28527,1140,35.259463000000004,-77.03044399999999
28528,644,34.732058,-76.538662
28529,2193,35.070527,-76.85476
28530,7332,35.374767999999996,-77.415297
28531,1207,34.698739,-76.55846
28532,23320,34.895340000000004,-76.890571
28533,2952,34.902869,-76.901473
28537,137,35.232516,-76.527113
28538,2175,35.416645,-77.565077
28539,15469,34.696777000000004,-77.21328100000001
28540,49252,34.754585999999996,-77.507427
28543,4699,34.734489,-77.376708
28544,5368,34.718075,-77.308684
28546,42696,34.798974,-77.356169
28547,21884,34.669025,-77.36697
28551,14093,35.321323,-77.780856
28552,254,35.300932,-76.546476
28553,454,34.7296,-76.512376
28554,243,35.478481,-77.586122
28555,5175,34.871187,-77.22497299999999
28556,963,35.114002,-76.62558299999999
28557,14429,34.73896,-76.74923199999999
28560,28921,35.125849,-76.977181
28562,36176,35.081631,-77.12689300000001
28570,21432,34.781518,-76.857549
28571,2585,35.068472,-76.691654
28572,6531,35.027895,-77.736417
28573,2176,34.98507,-77.148842
28574,15102,34.878931,-77.589588
28575,316,34.707959,-76.88356800000001
28577,522,34.864837,-76.373188
28578,6363,35.196952,-77.856972
28579,622,34.759099,-76.51029399999999
28580,12657,35.453154999999995,-77.679803
28581,214,34.844375,-76.435463
28582,1588,34.751399,-77.15438
28583,281,35.13882,-76.740716
28584,11396,34.736765999999996,-77.077619
28585,3942,35.076923,-77.412405
28586,8218,35.313457,-77.167497
28587,369,35.193948,-76.66166899999999
28589,180,34.808440999999995,-76.510879
28590,23407,35.520683,-77.416661
28594,3655,34.689904,-76.969688
28601,50026,35.772393,-81.32665899999999
28602,28981,35.672123,-81.38766700000001
28604,6249,36.1777,-81.858589
28605,3412,36.129632,-81.694929
28606,2158,36.053487,-81.322174
28607,33059,36.218021,-81.65236999999999
28609,5864,35.671692,-81.055604
28610,9913,35.730323999999996,-81.135305
28611,885,36.010954999999996,-81.735254
28612,12397,35.650391,-81.537561
28613,22759,35.737687,-81.20768100000001
28615,1876,36.462963,-81.67036
28616,493,36.023071,-81.920191
28617,2261,36.480702,-81.361979
28618,2352,36.208178000000004,-81.516799
28619,1520,35.758603,-81.602494
28621,10472,36.27565,-80.914624
28622,2527,36.192676,-81.947333
28623,1653,36.534328,-80.971405
28624,1639,36.127736999999996,-81.410206
28625,36189,35.868681,-80.890284
28626,2714,36.292547,-81.517798
28627,1152,36.458749,-81.003763
28628,479,35.726329,-81.785107
28629,75,36.346063,-81.36532700000001
28630,20041,35.827169,-81.421657
28631,637,36.547594000000004,-81.410274
28634,5225,35.972899,-80.75695999999999
28635,3901,36.305463,-81.12604499999999
28636,5522,35.939426,-81.06343299999999
28637,1746,35.718005,-81.419361
28638,12302,35.845093,-81.477938
28640,4719,36.403077,-81.402662
28642,5745,36.218398,-80.820312
28643,3521,36.523609,-81.53423599999999
28644,1494,36.426225,-81.277976
28645,47703,35.979227,-81.54718199999999
28646,342,36.073331,-81.847093
28647,89,35.938084,-81.972993
28649,993,36.333842,-81.209458
28650,11883,35.571814,-81.150614
28651,7132,36.306214000000004,-81.30878299999999
28652,46,36.100032,-81.98716999999999
28654,3495,36.058164,-81.159284
28655,54996,35.757931,-81.74135600000001
28657,9488,36.026471,-81.943352
28658,27022,35.637619,-81.235843
28659,21134,36.214847,-81.14478199999999
28660,2249,35.968615,-80.856248
28662,140,36.021516,-81.899121
28663,614,36.53203,-81.30940799999999
28665,2571,36.209834,-81.375474
28666,368,35.725264,-81.47065500000001
28667,559,35.771453,-81.426154
28668,300,36.407053999999995,-80.99048499999999
28669,3146,36.223525,-80.99309000000001
28670,2719,36.194016999999995,-80.914766
28671,597,35.75267,-81.527898
28672,35,36.483565000000006,-81.331342
28673,5919,35.619285,-80.99489
28675,6621,36.502709,-81.137222
28676,3483,36.331894,-80.85491
28677,32940,35.736732,-80.922989
28678,5226,35.822882,-81.059596
28679,2064,36.261278000000004,-81.82831
28681,25910,35.92235,-81.224112
28682,1129,35.588255,-80.965153
28683,1697,36.390489,-80.911085
28684,2141,36.336123,-81.608522
28685,2076,36.360792,-81.059832
28689,1712,36.036555,-80.940896
28690,9295,35.732737,-81.574229
28692,4067,36.267524,-81.808495
28693,1700,36.473863,-81.564661
28694,7744,36.367456,-81.455877
28697,12930,36.134008,-81.16572099999999
28698,2256,36.340894,-81.736245
28701,3635,35.705254,-82.64009899999999
28702,366,35.40639,-83.605365
28704,18821,35.457151,-82.579542
28705,6715,36.033544,-82.156728
28707,94,35.39733,-83.065872
28708,754,35.271316,-82.86261999999999
28709,2225,35.771714,-82.381416
28711,13209,35.604202,-82.293674
28712,19347,35.172713,-82.771532
28713,8686,35.369463,-83.499854
28714,16753,35.889503999999995,-82.30398000000001
28715,24582,35.511965999999994,-82.711701
28716,17477,35.439319,-82.847959
28717,1729,35.049341,-83.093398
28718,553,35.161143,-82.633547
28719,8048,35.517884,-83.334158
28720,114,35.450753999999996,-82.253654
28721,10063,35.662677,-82.95849100000001
28722,6371,35.208462,-82.061012
28723,11329,35.314207,-83.026128
28725,43,35.366645,-83.255082
28726,3203,35.281157,-82.41747600000001
28729,2894,35.320503,-82.600376
28730,9133,35.517414,-82.37803000000001
28731,7778,35.288036,-82.394669
28732,16491,35.452565,-82.445784
28733,21,35.429102,-83.815701
28734,27040,35.189201000000004,-83.412049
28735,256,35.4759,-82.350477
28736,787,35.175631,-83.08652
28739,19786,35.260467999999996,-82.55306800000001
28740,1364,36.091266,-82.272921
28741,3197,35.059869,-83.214162
28742,2710,35.382690000000004,-82.651028
28743,2125,35.800359,-82.88114399999999
28745,551,35.525282000000004,-82.97204599999999
28746,2388,35.461364,-82.168077
28747,2198,35.155183,-82.922658
28748,11334,35.649564,-82.757716
28749,50,35.840722,-82.098559
28751,2916,35.505021,-83.120685
28752,30600,35.710565,-82.035893
28753,11670,35.86408,-82.712731
28754,7679,35.875581,-82.515681
28756,4504,35.351924,-82.186268
28757,280,35.649746,-82.30856700000001
28759,6922,35.381462,-82.588562
28761,7816,35.68533,-81.91054
28762,6857,35.62679,-82.231583
28763,2725,35.028551,-83.466763
28766,1262,35.251041,-82.619825
28768,6813,35.325842,-82.70772099999999
28771,8558,35.34702,-83.842814
28772,1239,35.116966,-82.827217
28773,3378,35.265429,-82.309708
28774,1013,35.093531,-82.99506099999999
28775,296,35.021414,-83.32287
28777,10638,35.904438,-82.068523
28778,10381,35.629121000000005,-82.40519599999999
28779,16111,35.355178,-83.21145200000001
28781,939,35.224818,-83.635607
28782,6584,35.233959999999996,-82.147409
28783,1593,35.262145000000004,-83.010412
28785,7338,35.653307,-83.139769
28786,20714,35.462062,-82.989025
28787,19718,35.741288,-82.51549
28789,5097,35.407057,-83.316777
28790,3205,35.214632,-82.514329
28791,14171,35.356109000000004,-82.5082
28792,32689,35.383322,-82.369202
28801,15019,35.594348,-82.557917
28803,28693,35.531707,-82.52301700000001
28804,20507,35.647839000000005,-82.564371
28805,17620,35.625161,-82.484588
28806,38550,35.571971000000005,-82.614729
28901,5354,35.198079,-83.810349
28902,1373,35.022285,-83.959171
28904,8533,35.068396,-83.733464
28905,3129,35.163946,-83.940087
28906,18475,35.100136,-84.138594
28909,1030,35.001661,-83.90477299999999
