GEOID,POP10,INTPTLAT,INTPTLONG
16001,40371,40.910025,-79.94519100000001
16002,15877,40.815135,-79.855361
16020,1150,41.115334000000004,-79.89858199999999
16022,368,41.054140000000004,-79.73369100000001
16023,4169,40.785483,-79.750313
16024,209,40.742715999999994,-80.038538
16025,5564,40.942432000000004,-79.75338
16027,306,40.820153999999995,-80.019183
16028,1886,40.951316999999996,-79.635554
16029,705,40.879153,-79.84616899999999
16030,316,41.136395,-79.79696700000001
16033,6165,40.783878,-80.051087
16034,2054,40.861209,-79.73320799999999
16035,122,41.108993,-80.014526
16036,200,41.134894,-79.666595
16037,4589,40.842611,-80.133751
16038,3517,41.164483000000004,-79.953343
16040,975,41.094245,-79.8402
16041,1888,41.005338,-79.714928
16045,1195,40.852774,-79.916718
16046,14396,40.702754999999996,-80.023915
16048,139,41.053202,-79.818427
16049,3241,41.094066999999995,-79.671823
16050,1546,41.043999,-79.761561
16051,3043,40.944894,-80.138143
16052,2447,40.899377,-80.061572
16053,4020,40.811869,-79.983142
16054,497,41.153535999999995,-79.663009
16055,8486,40.717488,-79.747709
16056,4791,40.724934000000005,-79.841706
16057,13909,41.034074,-80.0603
16059,7738,40.707082,-79.927088
16061,2761,41.005109000000004,-79.88474000000001
16063,6559,40.762315,-80.1229
16066,28060,40.709967,-80.105642
16101,34042,40.983989,-80.290037
16102,5755,40.960367,-80.42443100000001
16105,15448,41.057381,-80.340317
16110,314,41.505249,-80.380762
16111,1409,41.520379,-80.282617
16112,1571,40.960467,-80.498397
16113,448,41.280826,-80.424148
16114,606,41.402848,-80.183931
16115,3287,40.796605,-80.460695
16116,3074,41.044162,-80.449625
16117,17185,40.871839,-80.256197
16120,2463,40.885089,-80.478966
16121,4941,41.211214,-80.497194
16123,2237,40.821932000000004,-80.196513
16124,2228,41.33617,-80.276062
16125,18186,41.406356,-80.372825
16127,16145,41.173009,-80.072998
16130,2023,41.444632,-80.222949
16131,933,41.550521999999994,-80.37823
16132,355,41.004767,-80.50083199999999
16133,1573,41.267790999999995,-80.114451
16134,3886,41.524926,-80.47885699999999
16136,801,40.834939,-80.323707
16137,12941,41.231618,-80.238644
16140,123,41.095323,-80.51403
16141,1806,40.868089000000005,-80.39846800000001
16142,7056,41.145414,-80.33318100000001
16143,2901,41.105824,-80.452682
16145,2726,41.380196000000005,-80.078627
16146,14040,41.234113,-80.499672
16148,16959,41.228484,-80.417588
16150,7426,41.285145,-80.45325
16151,77,41.4439,-80.206786
16153,2624,41.32224,-80.086586
16154,2492,41.325901,-80.420117
16155,103,41.067732,-80.510731
16156,3319,41.088767,-80.216432
16157,3477,40.888212,-80.333383
16159,4706,41.153413,-80.475263
16160,864,40.930558000000005,-80.356894
16161,644,41.19709,-80.49584399999999
16201,18214,40.805184999999994,-79.469413
16210,1014,40.895902,-79.51052299999999
16211,104,40.794443,-79.202555
16212,339,40.755157000000004,-79.583624
16213,204,41.125669,-79.557671
16214,10127,41.202672,-79.357224
16217,101,41.331192,-79.17368
16218,1195,40.933434999999996,-79.590649
16222,2526,40.873676,-79.257028
16223,154,40.975988,-79.363954
16224,1181,41.06508,-79.29486
16226,8279,40.711646,-79.486425
16228,371,40.760813,-79.535765
16229,4997,40.717124,-79.642747
16230,494,41.020475,-79.283324
16232,4281,41.213586,-79.551242
16233,1246,41.36124,-79.271067
16235,1256,41.322665,-79.352329
16236,262,40.787838,-79.522661
16238,410,40.787836999999996,-79.520848
16239,4172,41.496972,-79.13777900000001
16240,1533,41.036013,-79.225
16242,4693,41.009881,-79.36574499999999
16244,265,40.792176,-79.276658
16245,207,41.00672,-79.298366
16246,252,40.79172,-79.182154
16248,3130,41.034002,-79.502977
16249,2089,40.761947,-79.312139
16250,315,40.768512,-79.232968
16253,91,40.951168,-79.34275600000001
16254,3471,41.253345,-79.461458
16255,1943,41.128813,-79.466757
16256,2084,40.855267,-79.134458
16258,1869,41.236936,-79.278339
16259,1934,40.925711,-79.451859
16260,296,41.396463,-79.230763
16262,3007,40.839032,-79.652206
16263,317,40.801717,-79.336609
16301,16321,41.454215999999995,-79.62385400000001
16311,564,41.462165999999996,-80.042383
16312,25,41.932134999999995,-79.303214
16313,1848,41.733693,-79.12240899999999
16314,5507,41.520676,-80.077072
16316,5436,41.601773,-80.30363299999999
16317,1456,41.532556,-79.853702
16319,1355,41.324203999999995,-79.623458
16321,76,41.571059999999996,-79.399591
16322,158,41.598847,-79.373564
16323,16372,41.41192,-79.828317
16326,391,41.376158000000004,-79.43174
16327,2978,41.637082,-79.95956600000001
16328,80,41.653227,-79.72554000000001
16329,528,41.798643,-79.258874
16331,88,41.293731,-79.558676
16332,53,41.356716999999996,-79.369545
16333,240,41.697328999999996,-78.91677
16334,338,41.290554,-79.44935100000001
16335,28445,41.631017,-80.155868
16340,1990,41.802378000000004,-79.41766899999999
16341,2030,41.56608,-79.549355
16342,2281,41.321887,-79.941497
16343,449,41.42603,-79.752655
16344,523,41.470393,-79.684546
16345,3543,41.944404,-79.082916
16346,3247,41.378502000000005,-79.67197
16347,2238,41.659517,-79.069365
16350,2737,41.956936999999996,-79.334446
16351,1716,41.675353,-79.37034399999999
16352,245,41.767268,-79.038364
16353,3348,41.49572,-79.373001
16354,11379,41.613725,-79.706464
16360,1383,41.684104999999995,-79.890935
16361,53,41.383889,-79.345873
16362,1102,41.450497,-79.965179
16364,1347,41.351411,-79.527344
16365,18579,41.840224,-79.15738499999999
16370,358,41.574811,-79.460024
16371,3260,41.869946999999996,-79.326122
16372,499,41.200165999999996,-79.872877
16373,3510,41.208469,-79.698409
16374,1968,41.263498,-79.815085
16401,6581,41.878476,-80.40516
16402,956,41.961028000000006,-79.469799
16403,7029,41.792998,-80.014121
16404,3269,41.727006,-79.789388
16405,922,41.946543,-79.535939
16406,3509,41.749512,-80.36214
16407,11317,41.922164,-79.66425100000001
16410,1854,41.922751,-80.308509
16411,1477,41.977956,-80.44707199999999
16412,10480,41.88493,-80.170371
16415,8916,42.03752,-80.23031999999999
16416,203,41.825728999999995,-79.472696
16417,8329,41.971410999999996,-80.313819
16420,650,41.6963,-79.547259
16421,2518,42.171262,-79.931855
16422,401,41.667558,-80.310175
16423,4450,42.020652,-80.339572
16424,4676,41.661408,-80.43895699999999
