GEOID,POP10,INTPTLAT,INTPTLONG
61001,1179,42.465816,-90.110232
61006,1759,41.861743,-89.20210300000001
61007,534,42.197755,-89.589505
61008,34311,42.245919,-88.84113
61010,8032,42.134991,-89.266354
61011,2945,42.392526000000004,-88.897904
61012,2175,42.401445,-88.764558
61013,528,42.372122999999995,-89.639278
61014,1173,41.974687,-89.884447
61015,946,41.996752,-89.19707700000001
61016,4837,42.197297,-88.947723
61018,1080,42.415263,-89.555222
61019,3550,42.439512,-89.41004699999999
61020,3108,42.110183,-89.09820699999999
61021,23745,41.827391999999996,-89.479188
61024,2620,42.436415000000004,-89.29711400000001
61025,4867,42.470902,-90.55626
61027,52,42.330909000000005,-89.757279
61028,1989,42.298465,-90.175881
61030,2205,42.119648,-89.591624
61031,1656,41.832071,-89.311588
61032,31651,42.318003999999995,-89.63678399999999
61036,6821,42.413614,-90.37709699999999
61037,140,41.789331,-89.76029399999999
61038,1354,42.265817999999996,-88.737964
61039,802,42.208868,-89.467558
61041,1327,42.273156,-90.311245
61042,527,41.687626,-89.562791
61043,131,42.056438,-89.105241
61044,232,42.318779,-89.915092
61046,2831,42.104394,-89.811739
61047,1711,42.153152,-89.395916
61048,4360,42.382637,-89.84123100000001
61049,585,42.049626,-89.008914
61050,376,42.440288,-89.734143
61051,1574,41.982781,-89.754875
61052,1148,42.111371999999996,-88.999555
61053,2852,42.120761,-89.983427
61054,3973,42.054974,-89.449449
61057,168,41.8292,-89.382046
61059,141,42.453148999999996,-89.9402
61060,1432,42.478161,-89.621909
61061,7009,41.997917,-89.341656
61062,1983,42.250634999999996,-89.83574899999999
61063,4132,42.319493,-89.34065799999999
61064,3868,41.987852000000004,-89.58233800000001
61065,11156,42.400588,-88.836952
61067,811,42.305046000000004,-89.478928
61068,14858,41.945817,-89.060013
61070,1130,42.416818,-89.473074
61071,14381,41.724672999999996,-89.698867
61072,11797,42.442353000000004,-89.13849
61073,20052,42.423716999999996,-88.993849
61074,4431,42.125818,-90.12032099999999
61075,958,42.464449,-90.25894100000001
61077,73,42.238138,-89.35781300000001
61078,1374,42.165921000000004,-89.729005
61079,188,42.437245000000004,-89.216208
61080,10599,42.482064,-88.988025
61081,21934,41.843847,-89.735295
61084,3175,42.124022,-89.185652
61085,3443,42.341809999999995,-90.032187
61087,1670,42.480216999999996,-89.992631
61088,6020,42.268117,-89.262692
61089,867,42.473424,-89.819325
61091,63,41.906878000000006,-89.52769
61101,21593,42.346078999999996,-89.146087
61102,20538,42.228769,-89.162524
61103,24578,42.340261,-89.086492
61104,19269,42.25172,-89.079945
61107,30439,42.28529,-89.001692
61108,28550,42.257371,-89.00212900000001
61109,28333,42.191303999999995,-89.055756
