GEOID,POP10,INTPTLAT,INTPTLONG
91001,36126,34.195275,-118.137227
91006,31715,34.136258000000005,-118.02670400000001
91007,34095,34.128284,-118.04773200000001
91008,1391,34.153159,-117.968818
91010,26074,34.141586,-117.957627
91011,20280,34.222260999999996,-118.20536899999999
91016,40598,34.1528,-118.000482
91020,8415,34.211341,-118.230652
91024,10917,34.168771,-118.05021599999999
91030,25616,34.108957000000004,-118.15661499999999
91040,20372,34.261962,-118.336078
91042,27585,34.32222,-118.237917
91046,156,34.211452,-118.24103600000001
91101,20460,34.146671000000005,-118.13945600000001
91103,27480,34.169538,-118.16494099999998
91104,36751,34.165383,-118.123752
91105,11254,34.13946,-118.16664899999999
91106,24229,34.139402000000004,-118.128658
91107,32940,34.156397,-118.08587299999999
91108,13361,34.122671000000004,-118.11291100000001
91201,22781,34.17051,-118.28946299999998
91202,22830,34.167926,-118.26753899999999
91203,13220,34.153338,-118.262974
91204,16032,34.136194,-118.260934
91205,37810,34.13658,-118.24583899999999
91206,33065,34.160359,-118.213769
91207,10506,34.182378,-118.262922
91208,16245,34.185832,-118.239524
91210,328,34.144557,-118.25650700000001
91214,30356,34.236302,-118.24918500000001
91301,25488,34.123286,-118.758541
91302,25709,34.12331,-118.671028
91303,26855,34.198291999999995,-118.60091299999999
91304,50231,34.224377000000004,-118.63265600000001
91306,45061,34.209532,-118.57756299999998
91307,24474,34.200833,-118.6649
91311,36557,34.294142,-118.60388300000001
91316,26898,34.160236,-118.515472
91320,44274,34.175969,-118.945118
91321,34882,34.368109999999994,-118.48903700000001
91324,27669,34.238208,-118.55028999999999
91325,32417,34.236683,-118.51758799999999
91326,33708,34.281486,-118.556005
91330,2702,34.247532,-118.526076
91331,103689,34.255441999999995,-118.421314
91335,74363,34.200175,-118.540958
91340,34188,34.286689,-118.435078
91342,91725,34.326674,-118.38226200000001
91343,60254,34.237912,-118.48230600000001
91344,51747,34.294615,-118.507001
91345,18496,34.265878,-118.457241
91350,33348,34.440891,-118.501747
91351,32362,34.441427000000004,-118.44808799999998
91352,47807,34.230854,-118.36585600000001
91354,28722,34.465755,-118.553789
